J0    = 0.1008192
J1    = 0.06998909
J2    = 0.02732624
J3    = 0.01831064
J4    = 0.01416222
J5    = 0.01035552
J6    = 0.008849806
J7    = 0.007429741
J8    = 0.006704772
J9    = 0.005665001
J10   = 0.004956347
J11   = 0.004510883
J12   = 0.004262123
J13   = 0.003928378
J14   = 0.003604933
J15   = 0.003216197
J16   = 0.003050269
J17   = 0.002905721
J18   = 0.002774379
J19   = 0.002604221
J20   = 0.002436303
J21   = 0.002253587
J22   = 0.002132601
J23   = 0.002131189
J24   = 0.002106728
J25   = 0.002060941
J26   = 0.00200619
J27   = 0.001924917
J28   = 0.001836063
J29   = 0.001737135
J30   = 0.001643763
J31   = 0.001565735
J32   = 0.001513986
J33   = 0.001474065
J34   = 0.001450682
J35   = 0.001430436
J36   = 0.00141341
J37   = 0.001399149
J38   = 0.001380336
J39   = 0.001362279
J40   = 0.001339026
J41   = 0.00130775
J42   = 0.001276348
J43   = 0.001247226
J44   = 0.001220215
J45   = 0.001192091
J46   = 0.001166738
J47   = 0.001142075
J48   = 0.001121722
J49   = 0.001105881
J50   = 0.00108929
J51   = 0.001072596
J52   = 0.001055007
J53   = 0.001034771
J54   = 0.001013158
J55   = 0.0009933582
J56   = 0.0009729678
J57   = 0.0009487316
J58   = 0.0009256241
J59   = 0.0009006397
J60   = 0.0008878762
J61   = 0.0008968424
J62   = 0.0009013804
J63   = 0.0009007437
J64   = 0.0008947644
J65   = 0.0008871954
J66   = 0.0008793608
J67   = 0.0008671124
J68   = 0.0008551652
J69   = 0.0008408035
J70   = 0.0008282579
J71   = 0.0008133542
J72   = 0.0007986191
J73   = 0.0007827159
J74   = 0.0007666587
J75   = 0.0007490806
J76   = 0.0007304944
J77   = 0.0007126871
J78   = 0.0007016604
J79   = 0.0006938744
J80   = 0.0006878656
J81   = 0.0006835087
J82   = 0.0006785464
J83   = 0.000673228
J84   = 0.000666893
J85   = 0.0006604429
J86   = 0.0006537751
J87   = 0.0006469919
J88   = 0.0006386756
J89   = 0.0006325151
J90   = 0.0006269079
J91   = 0.0006219916
J92   = 0.0006165612
J93   = 0.0006109601
J94   = 0.0006059397
J95   = 0.000602499
J96   = 0.0005981108
J97   = 0.0005928517
J98   = 0.0005858912
J99   = 0.0005800293
J100  = 0.0005754359
J101  = 0.0005708549
J102  = 0.0005655397
J103  = 0.0005609661
J104  = 0.0005573286
J105  = 0.0005527694
J106  = 0.0005484981
J107  = 0.0005451557
