J290  = 0.01750167
J291  = 0.01747607
J292  = 0.01745052
J293  = 0.01742502
J294  = 0.01739959
J295  = 0.01737422
J296  = 0.01734891
J297  = 0.01732365
J298  = 0.01729846
J299  = 0.01727332
J300  = 0.01724824
J301  = 0.01722323
J302  = 0.01719826
J303  = 0.01717336
J304  = 0.01714852
J305  = 0.01712373
J306  = 0.017099 
J307  = 0.01707433
J308  = 0.01704972
J309  = 0.01702517
J310  = 0.01700067
J311  = 0.01697623
J312  = 0.01695185
J313  = 0.01692752
J314  = 0.01690326
J315  = 0.01687904
J316  = 0.01685489
J317  = 0.01683079
J318  = 0.01680676
J319  = 0.01678277
J320  = 0.01675885
J321  = 0.01673498
J322  = 0.01671116
J323  = 0.01668741
J324  = 0.0166637
J325  = 0.01664006
J326  = 0.01661647
J327  = 0.01659294
J328  = 0.01656946
J329  = 0.01654604
J330  = 0.01652267
J331  = 0.01649936
J332  = 0.01647611
J333  = 0.01645291
J334  = 0.01642977
J335  = 0.01640668
J336  = 0.01638364
J337  = 0.01636066
J338  = 0.01633774
J339  = 0.01631487
J340  = 0.01629205
J341  = 0.01626929
J342  = 0.01624659
J343  = 0.01622394
J344  = 0.01620134
J345  = 0.0161788
J346  = 0.01615631
J347  = 0.01613387
J348  = 0.01611149
J349  = 0.01608916
J350  = 0.01606689
J351  = 0.01604467
J352  = 0.0160225
J353  = 0.01600039
J354  = 0.01597833
J355  = 0.01595632
J356  = 0.01593437
J357  = 0.01591247
J358  = 0.01589062
J359  = 0.01586883
J360  = 0.01584708
J361  = 0.01582539
J362  = 0.01580376
J363  = 0.01578217
J364  = 0.01576064
J365  = 0.01573916
J366  = 0.01571773
J367  = 0.01569636
J368  = 0.01567503
J369  = 0.01565376
J370  = 0.01563254
J371  = 0.01561137
J372  = 0.01559025
J373  = 0.01556919
J374  = 0.01554817
J375  = 0.01552721
J376  = 0.0155063
J377  = 0.01548544
J378  = 0.01546463
J379  = 0.01544387
J380  = 0.01542316
J381  = 0.01540251
J382  = 0.0153819
J383  = 0.01536135
J384  = 0.01534084
J385  = 0.01532039
J386  = 0.01529998
J387  = 0.01527963
J388  = 0.01525932
J389  = 0.01523907
J390  = 0.01521887
J391  = 0.01519871
J392  = 0.01517861
J393  = 0.01515855
J394  = 0.01513855
J395  = 0.01511859
J396  = 0.01509869
J397  = 0.01507883
J398  = 0.01505902
J399  = 0.01503926
J400  = 0.01501955
J401  = 0.01499989
J402  = 0.01498028
J403  = 0.01496072
J404  = 0.0149412
J405  = 0.01492174
J406  = 0.01490232
J407  = 0.01488295
J408  = 0.01486363
J409  = 0.01484436
J410  = 0.01482513
J411  = 0.01480596
J412  = 0.01478683
J413  = 0.01476775
J414  = 0.01474872
J415  = 0.01472973
J416  = 0.0147108
J417  = 0.01469191
J418  = 0.01467306
J419  = 0.01465427
J420  = 0.01463552
J421  = 0.01461682
J422  = 0.01459817
J423  = 0.01457956
J424  = 0.014561 
J425  = 0.01454249
J426  = 0.01452402
J427  = 0.0145056
J428  = 0.01448723
J429  = 0.0144689
J430  = 0.01445063
J431  = 0.01443239
J432  = 0.0144142
J433  = 0.01439606
J434  = 0.01437797
J435  = 0.01435992
J436  = 0.01434192
J437  = 0.01432396
J438  = 0.01430605
J439  = 0.01428818
J440  = 0.01427036
J441  = 0.01425258
J442  = 0.01423485
J443  = 0.01421717
J444  = 0.01419953
J445  = 0.01418194
J446  = 0.01416439
J447  = 0.01414688
J448  = 0.01412942
J449  = 0.01411201
J450  = 0.01409464
J451  = 0.01407731
J452  = 0.01406003
J453  = 0.0140428
J454  = 0.0140256
J455  = 0.01400846
J456  = 0.01399135
J457  = 0.01397429
J458  = 0.01395728
J459  = 0.01394031
J460  = 0.01392338
J461  = 0.01390649
J462  = 0.01388965
J463  = 0.01387286
J464  = 0.0138561
J465  = 0.01383939
J466  = 0.01382273
J467  = 0.0138061
J468  = 0.01378952
J469  = 0.01377299
J470  = 0.01375649
J471  = 0.01374004
J472  = 0.01372363
J473  = 0.01370727
J474  = 0.01369095
J475  = 0.01367466
J476  = 0.01365843
J477  = 0.01364223
J478  = 0.01362608
J479  = 0.01360997
J480  = 0.0135939
J481  = 0.01357787
J482  = 0.01356189
J483  = 0.01354595
J484  = 0.01353005
J485  = 0.01351419
J486  = 0.01349837
J487  = 0.0134826
J488  = 0.01346686
J489  = 0.01345117
J490  = 0.01343552
J491  = 0.01341991
J492  = 0.01340434
J493  = 0.01338881
J494  = 0.01337333
J495  = 0.01335788
J496  = 0.01334248
J497  = 0.01332711
J498  = 0.01331179
J499  = 0.01329651
J500  = 0.01328127
J501  = 0.01326606
J502  = 0.0132509
J503  = 0.01323578
J504  = 0.0132207
J505  = 0.01320566
J506  = 0.01319066
J507  = 0.0131757
J508  = 0.01316078
J509  = 0.0131459
J510  = 0.01313106
J511  = 0.01311626
J512  = 0.0131015
J513  = 0.01308678
J514  = 0.0130721
J515  = 0.01305746
J516  = 0.01304285
J517  = 0.01302829
J518  = 0.01301376
J519  = 0.01299928
J520  = 0.01298483
J521  = 0.01297042
J522  = 0.01295605
J523  = 0.01294172
J524  = 0.01292743
J525  = 0.01291318
J526  = 0.01289896
J527  = 0.01288479
J528  = 0.01287065
J529  = 0.01285655
J530  = 0.01284249
J531  = 0.01282847
J532  = 0.01281448
J533  = 0.01280053
J534  = 0.01278663
J535  = 0.01277275
J536  = 0.01275892
J537  = 0.01274512
J538  = 0.01273137
J539  = 0.01271765
J540  = 0.01270396
J541  = 0.01269032
J542  = 0.01267671
J543  = 0.01266314
J544  = 0.0126496
J545  = 0.01263611
J546  = 0.01262265
J547  = 0.01260922
J548  = 0.01259584
J549  = 0.01258249
J550  = 0.01256917
J551  = 0.0125559
J552  = 0.01254266
J553  = 0.01252945
J554  = 0.01251629
J555  = 0.01250316
J556  = 0.01249006
J557  = 0.012477 
J558  = 0.01246398
J559  = 0.012451 
J560  = 0.01243805
J561  = 0.01242513
J562  = 0.01241225
J563  = 0.01239941
J564  = 0.0123866
J565  = 0.01237383
J566  = 0.01236109
J567  = 0.01234839
J568  = 0.01233573
J569  = 0.0123231
J570  = 0.0123105
J571  = 0.01229794
J572  = 0.01228542
J573  = 0.01227293
J574  = 0.01226047
J575  = 0.01224805
J576  = 0.01223567
J577  = 0.01222332
J578  = 0.012211 
J579  = 0.01219872
J580  = 0.01218647
J581  = 0.01217426
J582  = 0.01216208
J583  = 0.01214994
J584  = 0.01213783
J585  = 0.01212575
J586  = 0.01211371
J587  = 0.0121017
J588  = 0.01208973
J589  = 0.01207779
J590  = 0.01206588
J591  = 0.01205401
J592  = 0.01204217
J593  = 0.01203037
J594  = 0.01201859
J595  = 0.01200686
J596  = 0.01199515
J597  = 0.01198348
J598  = 0.01197184
J599  = 0.01196023
J600  = 0.01194866
J601  = 0.01193712
J602  = 0.01192561
J603  = 0.01191414
J604  = 0.0119027
J605  = 0.01189129
J606  = 0.01187991
J607  = 0.01186857
J608  = 0.01185726
J609  = 0.01184598
J610  = 0.01183473
J611  = 0.01182351
J612  = 0.01181233
J613  = 0.01180118
J614  = 0.01179006
J615  = 0.01177898
J616  = 0.01176792
J617  = 0.0117569
J618  = 0.01174591
J619  = 0.01173495
J620  = 0.01172402
J621  = 0.01171313
J622  = 0.01170226
J623  = 0.01169143
J624  = 0.01168063
J625  = 0.01166986
J626  = 0.01165912
J627  = 0.01164841
J628  = 0.01163773
J629  = 0.01162708
J630  = 0.01161647
J631  = 0.01160588
J632  = 0.01159533
J633  = 0.01158481
J634  = 0.01157431
J635  = 0.01156385
J636  = 0.01155342
J637  = 0.01154302
J638  = 0.01153265
J639  = 0.01152231
J640  = 0.011512 
J641  = 0.01150172
J642  = 0.01149147
J643  = 0.01148125
J644  = 0.01147106
J645  = 0.0114609
J646  = 0.01145077
J647  = 0.01144067
J648  = 0.0114306
J649  = 0.01142056
J650  = 0.01141054
J651  = 0.01140056
J652  = 0.01139061
J653  = 0.01138069
J654  = 0.01137079
J655  = 0.01136093
J656  = 0.01135109
J657  = 0.01134128
J658  = 0.01133151
J659  = 0.01132176
J660  = 0.01131204
J661  = 0.01130235
J662  = 0.01129268
J663  = 0.01128305
J664  = 0.01127344
J665  = 0.01126387
J666  = 0.01125432
J667  = 0.0112448
J668  = 0.01123531
J669  = 0.01122585
J670  = 0.01121641
J671  = 0.011207 
J672  = 0.01119762
J673  = 0.01118827
J674  = 0.01117895
J675  = 0.01116966
J676  = 0.01116039
J677  = 0.01115115
J678  = 0.01114194
J679  = 0.01113275
J680  = 0.0111236
J681  = 0.01111447
J682  = 0.01110537
J683  = 0.01109629
J684  = 0.01108725
J685  = 0.01107823
J686  = 0.01106923
J687  = 0.01106027
J688  = 0.01105133
J689  = 0.01104242
J690  = 0.01103353
J691  = 0.01102468
J692  = 0.01101585
J693  = 0.01100704
J694  = 0.01099826
J695  = 0.01098951
J696  = 0.01098079
J697  = 0.01097209
J698  = 0.01096342
J699  = 0.01095477
J700  = 0.01094616
J701  = 0.01093756
J702  = 0.010929 
J703  = 0.01092046
J704  = 0.01091194
J705  = 0.01090345
J706  = 0.01089499
