J218   = 0.0006023259088397026
J219   = 0.0006009632349014282
J220   = 0.000599609762430191
J221   = 0.0005982831865549088
J222   = 0.0005969693884253502
J223   = 0.0005956752970814705
J224   = 0.0005943955108523369
J225   = 0.0005931444838643074
J226   = 0.0005919009074568749
J227   = 0.000590740516781807
J228   = 0.0005897700414061546
J229   = 0.0005888154730200768
J230   = 0.0005878749489784241
J231   = 0.0005869388207793236
J232   = 0.000586024709045887
J233   = 0.0005851200222969055
J234   = 0.0005842163786292077
J235   = 0.0005833381414413453
J236   = 0.0005824653804302216
J237   = 0.000581611655652523
J238   = 0.0005807603150606156
J239   = 0.0005799275636672973
J240   = 0.0005790958926081657
J241   = 0.0005782860144972801
J242   = 0.0005774858221411705
J243   = 0.0005766895785927772
J244   = 0.000576031245291233
J245   = 0.0005754304304718971
J246   = 0.00057484682649374
J247   = 0.0005742651596665383
J248   = 0.0005736874788999557
J249   = 0.0005731221660971641
J250   = 0.0005725613981485367
J251   = 0.0005720113217830658
J252   = 0.0005714620649814605
J253   = 0.0005709243565797806
J254   = 0.0005703931674361229
J255   = 0.0005698632448911667
J256   = 0.0005693499743938446
J257   = 0.0005688343197107316
J258   = 0.0005683298781514168
J259   = 0.0005678843334317208
J260   = 0.0005675360560417176
J261   = 0.0005671941861510277
J262   = 0.00056684710085392
J263   = 0.0005665068328380584
J264   = 0.0005661719664931297
J265   = 0.0005658384785056115
J266   = 0.000565515048801899
J267   = 0.0005651894211769104
J268   = 0.0005648690089583397
J269   = 0.0005645529553294182
J270   = 0.0005642380937933922
J271   = 0.0005639375001192093
J272   = 0.000563628189265728
J273   = 0.0005633227527141572
J274   = 0.0005630312114953995
J275   = 0.0005627360939979553
J276   = 0.0005624416843056679
J277   = 0.0005621554329991341
J278   = 0.0005618642270565033
J279   = 0.0005615871399641037
J280   = 0.0005613081157207489
J281   = 0.000561031773686409
J282   = 0.0005607599020004272
J283   = 0.000560491681098938
J284   = 0.0005602260306477547
J285   = 0.0005599609389901161
J286   = 0.0005597008019685746
J287   = 0.0005594384670257568
J288   = 0.0005591899901628495
J289   = 0.0005589317530393601
J290   = 0.000558684840798378
J291   = 0.0005584388598799706
J292   = 0.000558198057115078
J293   = 0.0005579579994082451
J294   = 0.0005577142909169197
J295   = 0.0005574803799390793
J296   = 0.0005572457984089851
J297   = 0.0005570131912827492
J298   = 0.0005567839741706848
J299   = 0.0005565602332353592
J300   = 0.0005563368648290634
J301   = 0.0005561123788356781
J302   = 0.0005558967217803002
J303   = 0.000555676706135273
J304   = 0.0005554614216089249
J305   = 0.0005552485957741737
J306   = 0.0005550378933548928
J307   = 0.0005548341572284699
J308   = 0.0005546226352453232
J309   = 0.0005544186010956765
J310   = 0.0005542154982686043
J311   = 0.0005540405586361885
J312   = 0.000553913563489914
J313   = 0.0005537925660610199
J314   = 0.0005536701157689095
J315   = 0.0005535420030355454
J316   = 0.0005534229427576065
J317   = 0.0005532963946461677
J318   = 0.000553181879222393
J319   = 0.0005530620738863945
J320   = 0.0005529401078820229
J321   = 0.0005528291314840317
J322   = 0.0005527011677622795
J323   = 0.0005525951087474823
J324   = 0.00055247463285923
J325   = 0.0005523630231618881
J326   = 0.0005522434040904045
J327   = 0.0005521321669220925
J328   = 0.0005520224943757057
J329   = 0.0005519102513790131
J330   = 0.0005517993867397308
J331   = 0.0005516921356320382
J332   = 0.0005515827238559723
J333   = 0.0005514735355973244
J334   = 0.0005513681843876838
J335   = 0.000551258958876133
J336   = 0.0005511583760380745
J337   = 0.000551045760512352
J338   = 0.0005509370937943459
J339   = 0.0005508343875408173
J340   = 0.0005507326498627663
J341   = 0.0005506287887692452
J342   = 0.0005505299940705299
J343   = 0.0005504238978028298
J344   = 0.0005503523722290993
J345   = 0.0005502888932824135
J346   = 0.0005502286925911904
J347   = 0.0005501687154173851
J348   = 0.000550101213157177
J349   = 0.0005500444024801255
J350   = 0.0005499794334173203
J351   = 0.0005499190464615821
J352   = 0.0005498545616865158
J353   = 0.000549793615937233
J354   = 0.0005497309193015098
J355   = 0.0005496722832322121
J356   = 0.0005496104434132576
J357   = 0.0005495411157608032
J358   = 0.0005494840443134308
J359   = 0.0005494204163551331
J360   = 0.0005493631958961487
J361   = 0.0005492977425456047
J362   = 0.0005492432415485383
J363   = 0.0005491799488663673
J364   = 0.0005491159856319428
J365   = 0.0005490537360310554
J366   = 0.0005489927530288696
J367   = 0.0005489256605505944
J368   = 0.0005488711595535279
J369   = 0.0005488036945462227
J370   = 0.0005487506091594696
J371   = 0.0005486852675676346
J372   = 0.0005486209318041801
J373   = 0.0005485659837722778
J374   = 0.0005485054105520249
J375   = 0.0005484369024634361
J376   = 0.0005483785644173622
J377   = 0.000548321008682251
J378   = 0.0005482590571045876
J379   = 0.0005481971800327301
J380   = 0.0005481384322047234
J381   = 0.0005480768904089927
J382   = 0.0005480169132351876
J383   = 0.0005479497462511063
J384   = 0.0005478917434811592
J385   = 0.0005478338897228241
J386   = 0.0005477653443813324
J387   = 0.0005477096512913704
J388   = 0.000547647550702095
J389   = 0.0005475869402289391
J390   = 0.0005475283786654472
J391   = 0.000547463670372963
J392   = 0.0005474013835191727
J393   = 0.000547347329556942
J394   = 0.0005472860485315323
J395   = 0.0005472258850932122
J396   = 0.0005471654236316681
J397   = 0.0005471032857894898
J398   = 0.0005470402911305428
J399   = 0.0005469860881567001
J400   = 0.0005469175055623055
J401   = 0.0005468594655394554
J402   = 0.0005467996746301651
J403   = 0.0005467476323246956
J404   = 0.0005466808378696441
J405   = 0.0005466179549694062
J406   = 0.0005465616285800933
J407   = 0.0005465025827288628
J408   = 0.000546441487967968
J409   = 0.0005463839694857598
J410   = 0.0005463238060474395
J411   = 0.0005462610721588135
J412   = 0.0005462013557553291
J413   = 0.0005461402609944344
J414   = 0.0005460782721638679
J415   = 0.0005460208654403687
J416   = 0.0005459572374820709
J417   = 0.0005458991974592209
J418   = 0.0005458397045731545
J419   = 0.000545780211687088
J420   = 0.0005457203462719917
J421   = 0.0005456617847084999
J422   = 0.0005455992370843887
J423   = 0.0005455390363931655
J424   = 0.0005454733967781067
J425   = 0.0005454220622777939
J426   = 0.000545356310904026
J427   = 0.0005453015118837357
J428   = 0.0005452378839254379
J429   = 0.0005451855435967446
J430   = 0.0005451199039816857
J431   = 0.0005450614914298058
J432   = 0.0005450031906366348
J433   = 0.0005449390038847924
J434   = 0.0005448831617832184
J435   = 0.0005448227748274803
J436   = 0.000544762909412384
J437   = 0.0005447041615843773
J438   = 0.0005446413904428482
J439   = 0.0005445855110883713
J440   = 0.0005445244908332824
J441   = 0.0005444625392556191
J442   = 0.0005444081872701645
J443   = 0.0005443491414189339
J444   = 0.0005442886427044868
J445   = 0.0005442271381616593
J446   = 0.0005441661551594734
J447   = 0.0005441094934940338
J448   = 0.0005440464988350868
J449   = 0.0005439897999167442
J450   = 0.0005439284071326256
J451   = 0.0005438754707574844
J452   = 0.0005438113585114479
J453   = 0.0005437541753053665
J454   = 0.0005436943098902703
J455   = 0.0005436300858855247
J456   = 0.0005435762926936149
J457   = 0.0005435208976268768
J458   = 0.0005434571206569672
J459   = 0.000543396882712841
J460   = 0.0005433337390422821
J461   = 0.0005432794243097305
J462   = 0.0005432162806391716
J463   = 0.0005431611463427543
