J0    = 0.09839653
J1    = 0.06860302
J2    = 0.05225815
J3    = 0.04622697
J4    = 0.04231369
J5    = 0.04011093
J6    = 0.03689483
J7    = 0.03408047
J8    = 0.03167464
J9    = 0.02891603
J10   = 0.02705553
J11   = 0.02456768
J12   = 0.02305907
J13   = 0.02089945
J14   = 0.01962944
J15   = 0.01779452
J16   = 0.01669755
J17   = 0.01515996
J18   = 0.01419643
J19   = 0.01292104
J20   = 0.01206539
J21   = 0.01101653
J22   = 0.01025101
J23   = 0.009395502
J24   = 0.008706947
J25   = 0.008015236
J26   = 0.007393336
J27   = 0.006839665
J28   = 0.006276022
J29   = 0.005838238
J30   = 0.005330346
J31   = 0.004985022
J32   = 0.004542251
J33   = 0.004257976
J34   = 0.003881487
J35   = 0.003638356
J36   = 0.00332456
J37   = 0.003110209
J38   = 0.002857035
J39   = 0.00267751
J40   = 0.002493685
J41   = 0.002340135
J42   = 0.002213574
J43   = 0.002102553
J44   = 0.002004917
J45   = 0.001926391
J46   = 0.001844038
J47   = 0.001778912
J48   = 0.001718746
J49   = 0.001663771
J50   = 0.001619558
J51   = 0.001568613
J52   = 0.001530828
J53   = 0.001488177
J54   = 0.001453865
J55   = 0.001422927
J56   = 0.001388365
J57   = 0.001366073
J58   = 0.001328682
J59   = 0.001312908
J60   = 0.001279904
J61   = 0.001263048
J62   = 0.001234561
J63   = 0.00121616
J64   = 0.001192621
J65   = 0.001173522
J66   = 0.001155097
J67   = 0.001134231
J68   = 0.001119057
J69   = 0.001097042
J70   = 0.001084419
J71   = 0.001063988
J72   = 0.001052167
J73   = 0.001032187
J74   = 0.001021199
J75   = 0.001001578
J76   = 0.000991316
J77   = 0.0009721014
J78   = 0.0009624751
J79   = 0.0009437037
J80   = 0.0009346344
J81   = 0.0009163721
J82   = 0.0009077546
J83   = 0.0008917866
J84   = 0.0008817985
J85   = 0.0008684013
J86   = 0.0008568732
J87   = 0.0008459255
J88   = 0.0008339415
J89   = 0.0008241422
J90   = 0.0008125601
J91   = 0.0008030343
J92   = 0.0007919241
J93   = 0.0007825845
J94   = 0.0007719162
J95   = 0.0007627748
J96   = 0.0007525219
J97   = 0.0007435875
J98   = 0.0007337257
J99   = 0.0007250046
J100  = 0.0007155122
J101  = 0.0007070084
J102  = 0.0006978654
J103  = 0.000689881
J104  = 0.0006809951
J105  = 0.0006737891
J106  = 0.0006660499
J107  = 0.0006586647
J108  = 0.0006515784
J109  = 0.0006444307
J110  = 0.0006376541
J111  = 0.0006309025
J112  = 0.0006247233
J113  = 0.0006183562
J114  = 0.0006127108
J115  = 0.0006068202
J116  = 0.0006013812
J117  = 0.0005957924
J118  = 0.0005908625
J119  = 0.0005857978
J120  = 0.0005810276
J121  = 0.0005768006
J122  = 0.0005721105
J123  = 0.0005681615
J124  = 0.0005639753
J125  = 0.0005603747
J126  = 0.0005567221
J127  = 0.0005531616
J128  = 0.0005496883
J129  = 0.0005462189
J130  = 0.0005428288
J131  = 0.0005394503
J132  = 0.0005362011
J133  = 0.0005332997
J134  = 0.0005303268
J135  = 0.0005277183
J136  = 0.0005249836
J137  = 0.0005224203
J138  = 0.0005198035
J139  = 0.0005174814
J140  = 0.000515218
J141  = 0.0005131688
J142  = 0.0005111758
J143  = 0.000509252
J144  = 0.0005072939
J145  = 0.0005053967
J146  = 0.0005034721
J147  = 0.0005016011
J148  = 0.0004997086
