J0    = 0.7976491
J1    = 0.4267536
J2    = 0.2462672
J3    = 0.1287476
J4    = 0.1108091
J5    = 0.06238516
J6    = 0.03357417
J7    = 0.02811903
J8    = 0.02452613
J9    = 0.02093561
J10   = 0.01744071
J11   = 0.01392117
J12   = 0.009870208
J13   = 0.008949295
J14   = 0.006545726
J15   = 0.005146572
J16   = 0.004588985
J17   = 0.004075977
J18   = 0.003227643
J19   = 0.002380435
J20   = 0.001930517
J21   = 0.001619576
J22   = 0.001400456
J23   = 0.001173619
J24   = 0.001043231
J25   = 0.0008618494
J26   = 0.0007149295
J27   = 0.0006160116
J28   = 0.0005210808
J29   = 0.000469745
J30   = 0.0003964541
J31   = 0.0003088642
J32   = 0.0002848927
J33   = 0.0002534834
J34   = 0.0002383426
J35   = 0.0002185872
J36   = 0.0001868819
J37   = 0.0001735934
J38   = 0.0001698148
J39   = 0.0001432891
J40   = 0.0001304629
J41   = 0.0001065211
J42   = 7.680812e-05
Total time used: 5.394523820199105
