J0    = 221.6095 
J1    = 12.39474 
J2    = 3.757137 
J3    = 3.728676 
J4    = 3.721152 
J5    = 3.711869 
J6    = 3.702504 
J7    = 3.693157 
J8    = 3.683833 
J9    = 3.674533 
J10   = 3.665256 
J11   = 3.656003 
J12   = 3.646773 
J13   = 3.637566 
J14   = 3.628383 
J15   = 3.619222 
J16   = 3.610085 
J17   = 3.600971 
J18   = 3.59188  
J19   = 3.582812 
J20   = 3.573766 
J21   = 3.564744 
J22   = 3.555744 
J23   = 3.546767 
J24   = 3.537813 
J25   = 3.528882 
J26   = 3.519972 
J27   = 3.511086 
J28   = 3.502222 
J29   = 3.49338  
J30   = 3.48456  
J31   = 3.475763 
J32   = 3.466988 
J33   = 3.458235 
J34   = 3.449504 
J35   = 3.440796 
J36   = 3.432109 
J37   = 3.423444 
J38   = 3.414801 
J39   = 3.40618  
J40   = 3.397581 
J41   = 3.389003 
J42   = 3.380447 
J43   = 3.371913 
J44   = 3.3634   
J45   = 3.354908 
J46   = 3.346438 
J47   = 3.33799  
J48   = 3.329563 
J49   = 3.321157 
J50   = 3.312772 
J51   = 3.304409 
J52   = 3.296066 
J53   = 3.287745 
J54   = 3.279444 
J55   = 3.271165 
J56   = 3.262906 
J57   = 3.254669 
J58   = 3.246452 
J59   = 3.238256 
J60   = 3.23008  
J61   = 3.221926 
J62   = 3.213791 
J63   = 3.205678 
J64   = 3.197584 
J65   = 3.189512 
J66   = 3.181459 
J67   = 3.173427 
J68   = 3.165416 
J69   = 3.157424 
J70   = 3.149453 
J71   = 3.141501 
J72   = 3.13357  
J73   = 3.125659 
J74   = 3.117768 
J75   = 3.109897 
J76   = 3.102045 
J77   = 3.094214 
J78   = 3.086402 
J79   = 3.07861  
J80   = 3.070837 
J81   = 3.063085 
J82   = 3.055351 
J83   = 3.047638 
J84   = 3.039943 
J85   = 3.032269 
J86   = 3.024613 
J87   = 3.016977 
J88   = 3.00936  
J89   = 3.001763 
J90   = 2.994184 
J91   = 2.986625 
J92   = 2.979085 
J93   = 2.971564 
J94   = 2.964061 
J95   = 2.956578 
J96   = 2.949114 
J97   = 2.941668 
J98   = 2.934242 
J99   = 2.926834 
J100  = 2.919445 
J101  = 2.912074 
J102  = 2.904722 
J103  = 2.897389 
J104  = 2.890074 
J105  = 2.882777 
J106  = 2.875499 
J107  = 2.868239 
J108  = 2.860998 
J109  = 2.853775 
J110  = 2.84657  
J111  = 2.839384 
J112  = 2.832215 
J113  = 2.825065 
J114  = 2.817932 
J115  = 2.810818 
J116  = 2.803722 
J117  = 2.796643 
J118  = 2.789583 
J119  = 2.78254  
J120  = 2.775515 
J121  = 2.768508 
J122  = 2.761518 
J123  = 2.754546 
J124  = 2.747592 
J125  = 2.740655 
J126  = 2.733736 
J127  = 2.726834 
J128  = 2.71995  
J129  = 2.713083 
J130  = 2.706233 
J131  = 2.699401 
J132  = 2.692586 
J133  = 2.685788 
J134  = 2.679007 
J135  = 2.672244 
J136  = 2.665497 
J137  = 2.658768 
J138  = 2.652055 
J139  = 2.645359 
J140  = 2.638681 
J141  = 2.632019 
J142  = 2.625374 
J143  = 2.618746 
J144  = 2.612134 
J145  = 2.60554  
J146  = 2.598961 
J147  = 2.5924   
J148  = 2.585855 
J149  = 2.579326 
J150  = 2.572814 
J151  = 2.566319 
J152  = 2.55984  
J153  = 2.553377 
J154  = 2.546931 
J155  = 2.5405   
J156  = 2.534086 
J157  = 2.527689 
J158  = 2.521307 
J159  = 2.514942 
J160  = 2.508592 
J161  = 2.502259 
J162  = 2.495941 
J163  = 2.48964  
J164  = 2.483354 
J165  = 2.477085 
J166  = 2.470831 
J167  = 2.464593 
J168  = 2.45837  
J169  = 2.452164 
J170  = 2.445973 
J171  = 2.439798 
J172  = 2.433638 
J173  = 2.427494 
J174  = 2.421365 
J175  = 2.415252 
J176  = 2.409154 
J177  = 2.403072 
J178  = 2.397005 
J179  = 2.390953 
J180  = 2.384917 
J181  = 2.378895 
J182  = 2.372889 
J183  = 2.366899 
J184  = 2.360923 
J185  = 2.354962 
J186  = 2.349017 
J187  = 2.343086 
J188  = 2.337171 
J189  = 2.33127  
J190  = 2.325384 
J191  = 2.319513 
J192  = 2.313657 
J193  = 2.307816 
J194  = 2.301989 
J195  = 2.296178 
J196  = 2.29038  
J197  = 2.284598 
J198  = 2.27883  
J199  = 2.273077 
J200  = 2.267338 
J201  = 2.261613 
J202  = 2.255904 
J203  = 2.250208 
J204  = 2.244527 
J205  = 2.23886  
J206  = 2.233208 
J207  = 2.22757  
J208  = 2.221946 
J209  = 2.216336 
J210  = 2.21074  
J211  = 2.205159 
J212  = 2.199591 
J213  = 2.194038 
J214  = 2.188499 
J215  = 2.182973 
J216  = 2.177462 
J217  = 2.171965 
J218  = 2.166481 
J219  = 2.161011 
J220  = 2.155555 
J221  = 2.150113 
J222  = 2.144685 
J223  = 2.13927  
J224  = 2.133869 
J225  = 2.128482 
J226  = 2.123108 
J227  = 2.117748 
J228  = 2.112401 
J229  = 2.107068 
J230  = 2.101748 
J231  = 2.096442 
J232  = 2.091149 
J233  = 2.085869 
J234  = 2.080603 
J235  = 2.07535  
J236  = 2.07011  
J237  = 2.064884 
J238  = 2.059671 
J239  = 2.054471 
J240  = 2.049284 
J241  = 2.04411  
J242  = 2.038949 
J243  = 2.033801 
J244  = 2.028666 
J245  = 2.023545 
J246  = 2.018436 
J247  = 2.01334  
J248  = 2.008257 
J249  = 2.003186 
J250  = 1.998129 
J251  = 1.993084 
J252  = 1.988052 
J253  = 1.983033 
J254  = 1.978026 
J255  = 1.973032 
J256  = 1.968051 
J257  = 1.963082 
J258  = 1.958126 
J259  = 1.953182 
J260  = 1.948251 
J261  = 1.943332 
J262  = 1.938425 
J263  = 1.933531 
J264  = 1.92865  
J265  = 1.923781 
J266  = 1.918923 
J267  = 1.914079 
J268  = 1.909246 
J269  = 1.904426 
J270  = 1.899618 
J271  = 1.894822 
J272  = 1.890038 
J273  = 1.885266 
J274  = 1.880506 
J275  = 1.875758 
J276  = 1.871022 
J277  = 1.866299 
J278  = 1.861587 
J279  = 1.856887 
J280  = 1.852198 
J281  = 1.847522 
J282  = 1.842858 
J283  = 1.838205 
J284  = 1.833564 
J285  = 1.828935 
J286  = 1.824317 
J287  = 1.819711 
J288  = 1.815117 
