J0    = 2.392947 
J1    = 2.009133 
J2    = 1.050139 
J3    = 0.5723429
J4    = 0.450877 
J5    = 0.329227 
J6    = 0.2659673
J7    = 0.1735872
J8    = 0.1546231
J9    = 0.1048374
J10   = 0.08919602
J11   = 0.06581599
J12   = 0.06199969
J13   = 0.04692867
J14   = 0.03436643
J15   = 0.0305254
J16   = 0.02664493
J17   = 0.02300892
J18   = 0.01732581
J19   = 0.01532248
J20   = 0.01246287
J21   = 0.01182506
J22   = 0.009441439
J23   = 0.009384473
J24   = 0.007154528
J25   = 0.006893996
J26   = 0.00592283
J27   = 0.005015515
J28   = 0.00448731
J29   = 0.003880186
J30   = 0.003700161
J31   = 0.003218084
J32   = 0.003124093
J33   = 0.002489038
J34   = 0.002280142
J35   = 0.002155156
J36   = 0.001709303
J37   = 0.001417413
J38   = 0.001242636
J39   = 0.0009583805
J40   = 0.0008874544
J41   = 0.0008183584
J42   = 0.0007924353
J43   = 0.000765527
J44   = 0.0007096898
J45   = 0.0006772074
J46   = 0.0006112422
J47   = 0.0005547188
J48   = 0.0004933026
J49   = 0.0004307186
J50   = 0.0003651623
J51   = 0.0003520493
J52   = 0.0003264071
J53   = 0.0002437003
J54   = 0.0002394636
J55   = 0.0002104732
J56   = 0.0001903394
J57   = 0.0001561988
J58   = 0.0001408548
J59   = 0.0001281965
J60   = 0.0001276698
J61   = 0.0001225538
J62   = 0.0001095564
J63   = 0.0001089738
J64   = 0.0001049108
J65   = 0.0001010631
J66   = 9.891563e-05
J67   = 9.628889e-05
J68   = 9.326912e-05
J69   = 8.976569e-05
J70   = 8.617693e-05
J71   = 7.988909e-05
J72   = 6.965941e-05
J73   = 6.320621e-05
J74   = 6.30818e-05
J75   = 5.816941e-05
J76   = 5.357823e-05
J77   = 4.401334e-05
J78   = 3.529301e-05
J79   = 3.146607e-05
J80   = 2.726309e-05
J81   = 2.31021e-05
J82   = 2.274329e-05
J83   = 2.046555e-05
J84   = 1.653859e-05
J85   = 1.507018e-05
J86   = 1.481734e-05
J87   = 1.399909e-05
J88   = 1.323241e-05
J89   = 1.231605e-05
J90   = 1.20218e-05
J91   = 1.192482e-05
J92   = 1.177673e-05
J93   = 1.148434e-05
J94   = 1.124701e-05
J95   = 1.114169e-05
J96   = 1.110892e-05
J97   = 1.09749e-05
J98   = 1.083132e-05
J99   = 1.082786e-05
J100  = 1.072108e-05
J101  = 1.053186e-05
J102  = 1.046303e-05
J103  = 1.045351e-05
J104  = 1.041614e-05
J105  = 1.025809e-05
J106  = 1.004355e-05
J107  = 1.002201e-05
J108  = 9.72676e-06
Total time used: 27.827746998677604
