J0    = 0.07390082
J1    = 0.05069955
J2    = 0.03506758
J3    = 0.03110844
J4    = 0.02610866
J5    = 0.02488436
J6    = 0.02222157
J7    = 0.02096127
J8    = 0.01913777
J9    = 0.01766622
J10   = 0.01634781
J11   = 0.01494002
J12   = 0.01391108
J13   = 0.01266204
J14   = 0.01181134
J15   = 0.010751 
J16   = 0.01001407
J17   = 0.009142792
J18   = 0.008481526
J19   = 0.007782575
J20   = 0.007177668
J21   = 0.006629798
J22   = 0.006069935
J23   = 0.00565158
J24   = 0.005131006
J25   = 0.004820794
J26   = 0.004345769
J27   = 0.004123019
J28   = 0.003711479
J29   = 0.003552419
J30   = 0.003217271
J31   = 0.003090691
J32   = 0.002826368
J33   = 0.00271505
J34   = 0.002527817
J35   = 0.002442252
J36   = 0.002293136
J37   = 0.002239552
J38   = 0.002116476
J39   = 0.002084005
J40   = 0.001979107
J41   = 0.001952514
J42   = 0.001870706
J43   = 0.001843247
J44   = 0.001777682
J45   = 0.001748229
J46   = 0.001700383
J47   = 0.001672097
J48   = 0.001631337
J49   = 0.001607293
J50   = 0.00156732
J51   = 0.001546504
J52   = 0.001511355
J53   = 0.001490919
J54   = 0.001460704
J55   = 0.001443883
J56   = 0.001414851
J57   = 0.00140001
J58   = 0.001371999
J59   = 0.001357711
J60   = 0.001332299
J61   = 0.001316917
J62   = 0.001294123
J63   = 0.001278085
J64   = 0.001257637
J65   = 0.00124187
J66   = 0.001223089
J67   = 0.001207784
J68   = 0.001190051
J69   = 0.001174945
J70   = 0.001157924
J71   = 0.001143272
J72   = 0.001126703
J73   = 0.001113385
J74   = 0.001096379
J75   = 0.001084419
J76   = 0.001067542
J77   = 0.001056294
J78   = 0.001040456
J79   = 0.001028995
J80   = 0.001014764
J81   = 0.001002506
J82   = 0.0009899967
J83   = 0.0009773017
J84   = 0.0009659174
J85   = 0.0009540455
J86   = 0.0009425165
J87   = 0.0009315484
J88   = 0.0009204425
J89   = 0.0009099965
J90   = 0.0008995694
J91   = 0.0008899807
J92   = 0.0008796725
J93   = 0.0008709187
J94   = 0.0008609634
J95   = 0.0008527338
J96   = 0.0008433564
J97   = 0.000835407
J98   = 0.0008265042
J99   = 0.0008188979
J100  = 0.0008103116
J101  = 0.0008033019
J102  = 0.0007956005
J103  = 0.0007885955
J104  = 0.0007813741
J105  = 0.0007746807
J106  = 0.0007677049
J107  = 0.0007613366
J108  = 0.0007551688
J109  = 0.0007490667
J110  = 0.0007431447
J111  = 0.0007371961
J112  = 0.0007314096
J113  = 0.0007256098
J114  = 0.0007199568
J115  = 0.0007143012
J116  = 0.000708779
J117  = 0.0007034297
J118  = 0.0006981458
J119  = 0.0006930033
J120  = 0.0006878474
J121  = 0.0006829213
J122  = 0.0006780357
J123  = 0.0006732214
J124  = 0.0006684471
J125  = 0.000663783
J126  = 0.0006592749
J127  = 0.0006548873
J128  = 0.0006504989
J129  = 0.0006462697
J130  = 0.0006421136
J131  = 0.0006382839
J132  = 0.0006343849
J133  = 0.0006307457
J134  = 0.0006271008
J135  = 0.0006235797
J136  = 0.0006200143
J137  = 0.0006165585
J138  = 0.0006133288
J139  = 0.0006102461
J140  = 0.0006073031
J141  = 0.0006043554
J142  = 0.0006014631
J143  = 0.0005985703
J144  = 0.0005957278
J145  = 0.0005929945
J146  = 0.0005905553
J147  = 0.0005883233
J148  = 0.0005861958
J149  = 0.0005840874
J150  = 0.0005819856
J151  = 0.0005799018
J152  = 0.0005778252
J153  = 0.0005757738
J154  = 0.0005737753
J155  = 0.0005717882
J156  = 0.0005698116
J157  = 0.0005678461
J158  = 0.0005658909
J159  = 0.0005639518
J160  = 0.0005621304
J161  = 0.000560316
J162  = 0.0005585115
J163  = 0.0005567142
J164  = 0.0005549265
J165  = 0.000553146
J166  = 0.0005513748
J167  = 0.0005496109
J168  = 0.0005478561
J169  = 0.0005461085
J170  = 0.0005443698
J171  = 0.0005426383
J172  = 0.0005409154
J173  = 0.0005391998
J174  = 0.0005374926
J175  = 0.0005358324
J176  = 0.000534245
J177  = 0.0005326642
J178  = 0.0005310888
J179  = 0.0005295199
J180  = 0.0005279563
J181  = 0.000526399
J182  = 0.0005248471
J183  = 0.0005233015
J184  = 0.0005217611
J185  = 0.0005202269
J186  = 0.0005186981
J187  = 0.0005171752
J188  = 0.0005157645
J189  = 0.0005143943
J190  = 0.0005130287
J191  = 0.0005116651
J192  = 0.0005103059
J193  = 0.000508949
J194  = 0.0005076467
J195  = 0.0005063471
J196  = 0.0005050508
J197  = 0.0005037563
J198  = 0.0005024649
J199  = 0.0005011755
J200  = 0.0004998892
