J0    = 2.392947 
J1    = 1.725424 
J2    = 1.503542 
J3    = 1.365956 
J4    = 1.252159 
J5    = 1.150748 
J6    = 1.05851  
J7    = 0.9741994
J8    = 0.8968316
J9    = 0.8257923
J10   = 0.7604705
J11   = 0.700387 
J12   = 0.6451125
J13   = 0.5942253
J14   = 0.5474128
J15   = 0.5042922
J16   = 0.4646336
J17   = 0.4280883
J18   = 0.3944875
J19   = 0.363515 
J20   = 0.3350477
J21   = 0.3088012
J22   = 0.2846862
J23   = 0.2624489
J24   = 0.2420253
J25   = 0.2231903
J26   = 0.2058984
J27   = 0.1899513
J28   = 0.1753173
J29   = 0.1618225
J30   = 0.1494448
J31   = 0.1380331
J32   = 0.1275718
J33   = 0.1179303
J34   = 0.1090974
J35   = 0.1009609
J36   = 0.09351226
J37   = 0.08665595
J38   = 0.08038458
J39   = 0.07461767
J40   = 0.06934798
J41   = 0.06450838
J42   = 0.06009107
J43   = 0.05604077
J44   = 0.05234859
J45   = 0.0489697
J46   = 0.04589381
J47   = 0.04308521
J48   = 0.04053204
J49   = 0.0382065
J50   = 0.03609522
J51   = 0.03417715
J52   = 0.03243755
J53   = 0.03086115
J54   = 0.02943213
J55   = 0.02814004
J56   = 0.02696843
J57   = 0.02591084
J58   = 0.02495061
J59   = 0.02408454
J60   = 0.02329622
J61   = 0.02258505
J62   = 0.02193521
J63   = 0.02134817
J64   = 0.02080898
J65   = 0.02032062
J66   = 0.01986923
J67   = 0.01945885
J68   = 0.0190768
J69   = 0.01872781
J70   = 0.01840041
J71   = 0.01809967
J72   = 0.01781533
J73   = 0.01755258
J74   = 0.01730226
J75   = 0.01706951
J76   = 0.01684622
J77   = 0.01663731
J78   = 0.01643564
J79   = 0.01624584
J80   = 0.01606164
J81   = 0.01588732
J82   = 0.01571739
J83   = 0.01555576
J84   = 0.01539763
J85   = 0.01524655
J86   = 0.01509832
J87   = 0.01495612
J88   = 0.01481631
J89   = 0.01468171
J90   = 0.01454915
J91   = 0.01442114
J92   = 0.01429493
J93   = 0.01417271
J94   = 0.01405211
J95   = 0.01393506
J96   = 0.01381948
J97   = 0.01370707
J98   = 0.01359604
J99   = 0.01348785
J100  = 0.01338097
J101  = 0.01327665
J102  = 0.01317359
J103  = 0.01307286
J104  = 0.01297334
J105  = 0.01287595
J106  = 0.01277971
J107  = 0.01268545
J108  = 0.0125923
J109  = 0.01250097
J110  = 0.01241072
J111  = 0.01232216
J112  = 0.01223465
J113  = 0.01214871
J114  = 0.0120638
J115  = 0.01198034
J116  = 0.01189789
J117  = 0.0118168
J118  = 0.01173669
J119  = 0.01165785
J120  = 0.01157997
J121  = 0.01150329
J122  = 0.01142754
J123  = 0.01135292
J124  = 0.0112792
J125  = 0.01120655
J126  = 0.01113478
J127  = 0.01106403
J128  = 0.01099412
J129  = 0.01092518
J130  = 0.01085706
J131  = 0.01078986
J132  = 0.01072346
J133  = 0.01065794
J134  = 0.01059319
J135  = 0.01052929
J136  = 0.01046613
J137  = 0.01040377
J138  = 0.01034214
J139  = 0.01028128
J140  = 0.01022112
J141  = 0.01016171
J142  = 0.01010297
J143  = 0.01004494
J144  = 0.009987568
J145  = 0.009930883
J146  = 0.009874834
J147  = 0.009819445
J148  = 0.009764672
J149  = 0.009710534
J150  = 0.009656995
J151  = 0.009604067
J152  = 0.009551718
J153  = 0.009499961
J154  = 0.009448765
J155  = 0.009398139
J156  = 0.009348059
J157  = 0.009298529
