J0    = 0.7976491
J1    = 0.5751413
J2    = 0.1165502
J3    = 0.07790548
J4    = 0.05964299
J5    = 0.03847004
J6    = 0.03309506
J7    = 0.02729676
J8    = 0.02461146
J9    = 0.02141155
J10   = 0.01947378
J11   = 0.01728818
J12   = 0.01592938
J13   = 0.01451956
J14   = 0.01358694
J15   = 0.0126195
J16   = 0.01191264
J17   = 0.01117163
J18   = 0.01060914
J19   = 0.01003962
J20   = 0.009607012
J21   = 0.009182441
J22   = 0.008850809
J23   = 0.008519971
J24   = 0.008243901
J25   = 0.007956228
J26   = 0.007702664
J27   = 0.007433299
J28   = 0.007193034
J29   = 0.00694203
J30   = 0.0067222
J31   = 0.006500638
J32   = 0.006311721
J33   = 0.006128092
J34   = 0.005974067
J35   = 0.005827045
J36   = 0.00570235
J37   = 0.005581577
J38   = 0.005474711
J39   = 0.005366998
J40   = 0.005266932
J41   = 0.005162713
J42   = 0.005063555
J43   = 0.004959809
J44   = 0.004861645
J45   = 0.004760837
J46   = 0.004667494
J47   = 0.004574293
J48   = 0.004490017
J49   = 0.004407967
J50   = 0.004334849
J51   = 0.00426451
J52   = 0.004201612
J53   = 0.004140577
J54   = 0.004084647
J55   = 0.004028851
J56   = 0.003975836
J57   = 0.003921198
J58   = 0.003867677
J59   = 0.003811338
J60   = 0.003755404
J61   = 0.003696298
J62   = 0.003637805
J63   = 0.003576629
J64   = 0.003516948
J65   = 0.003455706
J66   = 0.003397163
J67   = 0.00333848
J68   = 0.003283629
J69   = 0.003229981
J70   = 0.003180893
J71   = 0.003133929
J72   = 0.003091639
J73   = 0.003051766
J74   = 0.00301604
J75   = 0.002982382
J76   = 0.002951862
J77   = 0.002922589
J78   = 0.002895242
J79   = 0.002868132
J80   = 0.002841837
J81   = 0.002814874
J82   = 0.00278795
J83   = 0.002759775
J84   = 0.002731321
J85   = 0.002701463
J86   = 0.002671456
J87   = 0.00264031
J88   = 0.002609489
J89   = 0.0025781
J90   = 0.002547679
J91   = 0.002517395
J92   = 0.002488697
J93   = 0.002460783
J94   = 0.002434873
J95   = 0.002410173
J96   = 0.00238759
J97   = 0.002366326
J98   = 0.002346968
J99   = 0.002328721
J100  = 0.002311912
J101  = 0.002295771
J102  = 0.002280471
J103  = 0.002265295
J104  = 0.002250379
J105  = 0.002235077
J106  = 0.002219591
J107  = 0.002203356
J108  = 0.002186703
J109  = 0.002169145
J110  = 0.002151164
J111  = 0.002132337
J112  = 0.002113279
J113  = 0.002093616
J114  = 0.002074045
J115  = 0.002054219
J116  = 0.002034853
J117  = 0.002015613
J118  = 0.001997162
J119  = 0.001979161
J120  = 0.001962174
J121  = 0.001945846
J122  = 0.00193061
J123  = 0.001916097
J124  = 0.001902607
J125  = 0.001889758
J126  = 0.001877739
J127  = 0.001866172
J128  = 0.00185517
J129  = 0.001844369
J130  = 0.001833853
J131  = 0.001823283
J132  = 0.001812753
J133  = 0.001801956
J134  = 0.001791028
J135  = 0.001779699
J136  = 0.001768161
J137  = 0.00175618
J138  = 0.00174401
J139  = 0.001731448
J140  = 0.001718802
J141  = 0.001705894
J142  = 0.001693067
J143  = 0.001680161
J144  = 0.00166753
J145  = 0.001655025
J146  = 0.001642986
J147  = 0.001631267
J148  = 0.001620165
J149  = 0.001609536
J150  = 0.001599617
J151  = 0.001590255
J152  = 0.001581622
J153  = 0.001573555
J154  = 0.001566158
J155  = 0.001559262
J156  = 0.001552913
J157  = 0.00154694
J158  = 0.001541348
J159  = 0.00153597
J160  = 0.001530791
J161  = 0.001525655
J162  = 0.001520548
J163  = 0.001515331
J164  = 0.001510009
J165  = 0.001504462
J166  = 0.001498727
J167  = 0.001492708
J168  = 0.001486477
J169  = 0.001479959
J170  = 0.001473265
J171  = 0.001466334
J172  = 0.001459308
J173  = 0.001452139
J174  = 0.001444985
J175  = 0.001437806
J176  = 0.001430762
J177  = 0.001423814
J178  = 0.001417109
J179  = 0.001410603
J180  = 0.00140442
J181  = 0.001398504
J182  = 0.001392949
J183  = 0.001387687
J184  = 0.001382776
J185  = 0.00137814
J186  = 0.001373804
J187  = 0.001369684
J188  = 0.001365784
J189  = 0.001362014
J190  = 0.001358367
J191  = 0.001354755
J192  = 0.001351169
J193  = 0.00134753
J194  = 0.001343836
J195  = 0.00134002
J196  = 0.001336095
J197  = 0.001332007
J198  = 0.001327792
J199  = 0.001323405
J200  = 0.001318904
J201  = 0.001314257
J202  = 0.001309535
J203  = 0.001304718
J204  = 0.001299888
J205  = 0.001295029
J206  = 0.001290226
J207  = 0.001285464
J208  = 0.001280826
J209  = 0.001276292
J210  = 0.001271934
J211  = 0.001267729
J212  = 0.001263732
J213  = 0.001259911
J214  = 0.001256305
J215  = 0.001252874
J216  = 0.001249641
J217  = 0.001246558
J218  = 0.001243633
J219  = 0.001240816
J220  = 0.001238105
J221  = 0.001235446
J222  = 0.001232835
J223  = 0.001230219
J224  = 0.001227593
J225  = 0.00122491
J226  = 0.001222168
J227  = 0.001219328
J228  = 0.001216395
J229  = 0.001213335
J230  = 0.001210165
J231  = 0.001206856
J232  = 0.001203436
J233  = 0.00119988
J234  = 0.001196225
J235  = 0.001192451
J236  = 0.001188602
J237  = 0.001184662
J238  = 0.001180677
J239  = 0.001176632
J240  = 0.001172578
J241  = 0.001168497
J242  = 0.001164439
J243  = 0.001160385
J244  = 0.001156383
J245  = 0.001152412
J246  = 0.001148513
J247  = 0.001144663
J248  = 0.001140899
J249  = 0.001137194
J250  = 0.00113358
J251  = 0.001130026
J252  = 0.001126558
J253  = 0.001123144
J254  = 0.001119804
J255  = 0.001116505
J256  = 0.001113263
J257  = 0.001110044
J258  = 0.00110686
J259  = 0.001103675
J260  = 0.001100503
J261  = 0.001097308
J262  = 0.0010941
J263  = 0.001090846
J264  = 0.001087557
J265  = 0.001084199
J266  = 0.001080786
J267  = 0.001077286
J268  = 0.001073715
J269  = 0.00107004
J270  = 0.001066283
J271  = 0.001062412
J272  = 0.001058451
J273  = 0.00105437
J274  = 0.001050198
J275  = 0.001045904
J276  = 0.001041522
J277  = 0.001037023
J278  = 0.001032443
J279  = 0.001027755
J280  = 0.001022999
J281  = 0.001018147
J282  = 0.001013243
J283  = 0.001008261
J284  = 0.001003245
J285  = 0.0009981714
J286  = 0.0009930862
J287  = 0.0009879646
J288  = 0.0009828551
J289  = 0.0009777331
J290  = 0.0009726472
J291  = 0.0009675735
J292  = 0.0009625598
J293  = 0.0009575827
J294  = 0.0009526887
J295  = 0.0009478547
J296  = 0.000943125
J297  = 0.0009384768
J298  = 0.0009339516
J299  = 0.0009295269
J300  = 0.0009252407
J301  = 0.0009210705
J302  = 0.0009170505
J303  = 0.0009131584
J304  = 0.000909424
J305  = 0.0009058252
J306  = 0.0009023872
J307  = 0.000899088
J308  = 0.0008959484
J309  = 0.0008929464
J310  = 0.0008900984
J311  = 0.0008873827
J312  = 0.0008848113
J313  = 0.000882363
J314  = 0.000880046
J315  = 0.0008778393
J316  = 0.000875748
J317  = 0.0008737517
J318  = 0.0008718526
J319  = 0.0008700309
J320  = 0.000868287
J321  = 0.0008666016
J322  = 0.0008649739
J323  = 0.0008633854
J324  = 0.0008618346
J325  = 0.0008603038
J326  = 0.0008587915
J327  = 0.0008572812
J328  = 0.0008557718
J329  = 0.0008542477
J330  = 0.0008527091
J331  = 0.0008511413
J332  = 0.0008495459
J333  = 0.0008479095
J334  = 0.0008462355
J335  = 0.0008445113
J336  = 0.0008427427
J337  = 0.0008409178
J338  = 0.0008390448
J339  = 0.0008371128
J340  = 0.0008351321
J341  = 0.0008330929
J342  = 0.0008310076
J343  = 0.0008288671
J344  = 0.000826686
J345  = 0.0008244561
J346  = 0.0008221936
J347  = 0.000819891
J348  = 0.000817566
J349  = 0.0008152119
J350  = 0.0008128474
J351  = 0.0008104662
J352  = 0.000808088
J353  = 0.0008057066
J354  = 0.000803342
J355  = 0.0008009885
J356  = 0.0007986658
J357  = 0.0007963682
J358  = 0.0007941151
J359  = 0.0007919006
J360  = 0.0007897429
J361  = 0.0007876364
J362  = 0.0007855975
J363  = 0.0007836205
J364  = 0.00078172
J365  = 0.0007798899
J366  = 0.0007781428
J367  = 0.0007764722
J368  = 0.0007748883
J369  = 0.0007733844
J370  = 0.000771968
J371  = 0.000770632
J372  = 0.0007693816
J373  = 0.0007682093
J374  = 0.0007671177
J375  = 0.0007660989
J376  = 0.0007651534
J377  = 0.000764273
J378  = 0.0007634561
J379  = 0.0007626942
J380  = 0.0007619842
J381  = 0.0007613173
J382  = 0.000760689
J383  = 0.0007600907
J384  = 0.0007595168
J385  = 0.0007589588
J386  = 0.0007584107
J387  = 0.0007578641
J388  = 0.0007573129
J389  = 0.0007567489
J390  = 0.0007561665
J391  = 0.0007555578
J392  = 0.0007549181
J393  = 0.0007542397
J394  = 0.0007535191
J395  = 0.000752749
J396  = 0.0007519274
J397  = 0.0007510476
J398  = 0.0007501093
J399  = 0.0007491061
J400  = 0.0007480396
J401  = 0.0007469041
J402  = 0.0007457032
J403  = 0.0007444316
J404  = 0.0007430949
J405  = 0.0007416885
J406  = 0.00074022
J407  = 0.0007386851
J408  = 0.0007370933
J409  = 0.000735441
J410  = 0.0007337394
J411  = 0.0007319851
J412  = 0.0007301909
J413  = 0.0007283538
J414  = 0.0007264877
J415  = 0.00072459
J416  = 0.0007226756
J417  = 0.0007207418
J418  = 0.0007188041
J419  = 0.00071686
J420  = 0.0007149251
J421  = 0.0007129969
J422  = 0.0007110907
J423  = 0.0007092038
J424  = 0.000707351
J425  = 0.0007055293
J426  = 0.0007037524
J427  = 0.0007020172
J428  = 0.0007003359
J429  = 0.0006987049
J430  = 0.0006971349
J431  = 0.0006956218
J432  = 0.0006941744
J433  = 0.0006927881
J434  = 0.0006914697
J435  = 0.000690214
J436  = 0.0006890259
J437  = 0.0006878997
J438  = 0.000686838
J439  = 0.0006858348
J440  = 0.0006848908
J441  = 0.0006839994
J442  = 0.0006831599
J443  = 0.000682365
J444  = 0.0006816127
J445  = 0.0006808954
J446  = 0.00068021
J447  = 0.0006795487
J448  = 0.0006789077
J449  = 0.000678279
J450  = 0.0006776585
J451  = 0.0006770383
J452  = 0.0006764141
J453  = 0.0006757784
J454  = 0.0006751271
J455  = 0.0006744528
J456  = 0.0006737524
J457  = 0.0006730188
J458  = 0.0006722496
J459  = 0.0006714384
J460  = 0.000670584
J461  = 0.0006696805
J462  = 0.000668728
J463  = 0.0006677212
J464  = 0.000666662
J465  = 0.0006655453
J466  = 0.0006643747
J467  = 0.0006631459
J468  = 0.0006618641
J469  = 0.0006605255
J470  = 0.0006591368
J471  = 0.000657695
J472  = 0.0006562082
J473  = 0.0006546738
J474  = 0.0006531013
J475  = 0.0006514886
J476  = 0.0006498464
J477  = 0.0006481729
J478  = 0.0006464796
J479  = 0.0006447651
J480  = 0.0006430414
J481  = 0.0006413074
J482  = 0.0006395754
J483  = 0.0006378443
J484  = 0.0006361264
J485  = 0.0006344206
J486  = 0.0006327389
J487  = 0.0006310799
J488  = 0.000629455
J489  = 0.0006278627
J490  = 0.0006263133
J491  = 0.000624805
J492  = 0.000623347
J493  = 0.000621937
J494  = 0.0006205827
J495  = 0.0006192813
J496  = 0.0006180392
J497  = 0.000616853
J498  = 0.0006157273
J499  = 0.0006146581
Total time used: 34.50661496633771
