J0    = 2.122105 
J1    = 1.627526 
J2    = 1.627526 
J3    = 1.561144 
J4    = 0.7736231
J5    = 0.1586221
J6    = 0.07438604
J7    = 0.06043753
J8    = 0.03339918
J9    = 0.02836977
J10   = 0.02351492
J11   = 0.02100616
J12   = 0.01778864
J13   = 0.01568448
J14   = 0.01310895
J15   = 0.0113376
J16   = 0.009931632
J17   = 0.008448571
J18   = 0.006628077
J19   = 0.006336536
J20   = 0.00518373
J21   = 0.005124317
J22   = 0.004534361
J23   = 0.003589938
J24   = 0.003498028
J25   = 0.002816057
J26   = 0.002363355
J27   = 0.001848109
J28   = 0.001449149
J29   = 0.001148835
J30   = 0.00113178
J31   = 0.001000364
J32   = 0.0008338015
J33   = 0.0006485398
J34   = 0.0005721474
J35   = 0.0004794726
J36   = 0.0003750213
J37   = 0.0003436769
J38   = 0.000271795
J39   = 0.0002360371
J40   = 0.0002261366
J41   = 0.000195113
J42   = 0.0001636273
J43   = 0.0001437371
J44   = 0.0001186879
J45   = 0.0001119239
J46   = 0.0001082206
J47   = 0.0001012261
J48   = 9.066459e-05
J49   = 7.689954e-05
J50   = 7.149474e-05
J51   = 7.070813e-05
J52   = 6.638884e-05
J53   = 6.439497e-05
J54   = 6.282337e-05
J55   = 6.282307e-05
J56   = 5.559106e-05
J57   = 5.471667e-05
J58   = 5.47162e-05
J59   = 5.172585e-05
J60   = 5.172585e-05
Return: alphak is too small.
Total time used: 85.52  
