J276  = 0.0005136253
J277  = 0.0005128542
J278  = 0.0005120827
J279  = 0.0005113109
J280  = 0.0005105386
J281  = 0.0005097661
J282  = 0.0005089933
J283  = 0.0005082202
J284  = 0.0005074469
J285  = 0.0005066733
J286  = 0.0005058995
J287  = 0.0005051255
J288  = 0.0005043514
J289  = 0.0005035771
J290  = 0.0005028027
J291  = 0.0005020407
J292  = 0.0005012912
J293  = 0.0005005549
J294  = 0.000499854
