J0    = 2.086645 
J1    = 1.916973 
J2    = 1.79254  
J3    = 1.70396  
J4    = 1.616002 
J5    = 1.538772 
J6    = 1.459997 
J7    = 1.388882 
J8    = 1.317034 
J9    = 1.252118 
J10   = 1.186999 
J11   = 1.128151 
J12   = 1.069389 
J13   = 1.016204 
J14   = 0.9632843
J15   = 0.9152789
J16   = 0.8676539
J17   = 0.8243485
J18   = 0.781497 
J19   = 0.7424441
J20   = 0.7038867
J21   = 0.6686771
J22   = 0.6339789
J23   = 0.6022412
J24   = 0.5710108
J25   = 0.5424086
J26   = 0.514294 
J27   = 0.4885231
J28   = 0.4632084
J29   = 0.4399934
J30   = 0.417195 
J31   = 0.396287 
J32   = 0.3757504
J33   = 0.3569245
J34   = 0.3384211
J35   = 0.3214739
J36   = 0.3047987
J37   = 0.2895464
J38   = 0.2745151
J39   = 0.2607918
J40   = 0.247239 
J41   = 0.2348946
J42   = 0.2226716
J43   = 0.2115709
J44   = 0.2005442
J45   = 0.1905649
J46   = 0.1806145
J47   = 0.1716463
J48   = 0.1626642
J49   = 0.1546075
J50   = 0.1464969
J51   = 0.1392618
J52   = 0.1319354
J53   = 0.125441 
J54   = 0.1188204
J55   = 0.1129934
J56   = 0.1070082
J57   = 0.1017827
J58   = 0.09636955
J59   = 0.09168604
J60   = 0.0867878
J61   = 0.08259263
J62   = 0.07815805
J63   = 0.07440282
J64   = 0.07038579
J65   = 0.06702687
J66   = 0.06338587
J67   = 0.06038391
J68   = 0.05708161
J69   = 0.05440115
J70   = 0.05140395
J71   = 0.04901301
J72   = 0.04629068
J73   = 0.04416043
J74   = 0.04168579
J75   = 0.03979023
J76   = 0.0375388
J77   = 0.03585452
J78   = 0.03380428
J79   = 0.03231015
J80   = 0.03044129
J81   = 0.02911829
J82   = 0.02741299
J83   = 0.02624395
J84   = 0.02468616
J85   = 0.02365562
J86   = 0.02223091
J87   = 0.02132494
J88   = 0.02002033
J89   = 0.01922636
J90   = 0.01803016
J91   = 0.01733686
J92   = 0.01623858
J93   = 0.01563575
J94   = 0.01462593
J95   = 0.01410435
J96   = 0.01317449
J97   = 0.01272587
J98   = 0.01186835
J99   = 0.0114852
J100  = 0.01069314
J101  = 0.01036871
J102  = 0.009635957
J103  = 0.009364153
J104  = 0.008685165
J105  = 0.008460483
J106  = 0.007830302
J107  = 0.007647769
J108  = 0.007061947
J109  = 0.006917067
J110  = 0.006371624
J111  = 0.006260325
J112  = 0.005751705
J113  = 0.005670295
J114  = 0.005195325
J115  = 0.005140452
J116  = 0.004696309
J117  = 0.00466492
J118  = 0.004249097
J119  = 0.004238405
J120  = 0.003848687
J121  = 0.001174213
J122  = 0.001173527
J123  = 0.001172985
J124  = 0.001165963
J125  = 0.001158585
J126  = 0.001151649
J127  = 0.001144396
J128  = 0.001137546
J129  = 0.001130414
J130  = 0.001123649
J131  = 0.001116634
J132  = 0.001109955
J133  = 0.001103054
J134  = 0.00109646
J135  = 0.001089671
J136  = 0.001083161
J137  = 0.00107648
J138  = 0.001070056
J139  = 0.00106348
J140  = 0.00105714
J141  = 0.001050668
J142  = 0.001044412
J143  = 0.001038041
J144  = 0.001031868
J145  = 0.001025596
J146  = 0.001019507
J147  = 0.001013332
J148  = 0.001007325
J149  = 0.001001245
J150  = 0.00099532
J151  = 0.0009893332
J152  = 0.00098349
J153  = 0.0009775948
J154  = 0.0009718327
J155  = 0.0009660275
J156  = 0.0009603458
J157  = 0.0009546291
J158  = 0.0009490272
J159  = 0.0009433975
J160  = 0.0009378749
J161  = 0.0009323309
J162  = 0.0009268867
J163  = 0.0009214271
J164  = 0.0009160608
J165  = 0.0009106842
J166  = 0.0009053952
J167  = 0.0009001004
J168  = 0.0008948879
J169  = 0.0008896737
J170  = 0.000884537
J171  = 0.0008794023
J172  = 0.0008743407
J173  = 0.0008692844
J174  = 0.0008642971
J175  = 0.000859318
J176  = 0.0008544045
J177  = 0.0008495016
J178  = 0.0008446609
J179  = 0.0008398331
J180  = 0.0008350646
J181  = 0.000830311
J182  = 0.0008256139
J183  = 0.0008209334
J184  = 0.0008163069
J185  = 0.0008116987
J186  = 0.0008071421
J187  = 0.000802605
J188  = 0.0007981176
J189  = 0.0007936508
J190  = 0.0007892317
J191  = 0.0007848343
J192  = 0.0007804828
J193  = 0.0007761539
J194  = 0.0007718692
J195  = 0.0007676078
J196  = 0.0007633892
J197  = 0.0007591945
J198  = 0.0007550412
J199  = 0.0007509123
J200  = 0.0007468235
J201  = 0.0007427596
J202  = 0.0007387346
J203  = 0.0007347348
J204  = 0.0007307727
J205  = 0.0007268362
J206  = 0.0007229364
J207  = 0.0007190623
J208  = 0.000715224
J209  = 0.0007114115
J210  = 0.0007076339
J211  = 0.0007038822
J212  = 0.0007001646
J213  = 0.0006964729
J214  = 0.0006928144
J215  = 0.000689182
J216  = 0.000685582
J217  = 0.000682008
J218  = 0.0006784657
J219  = 0.0006749494
J220  = 0.0006714641
J221  = 0.0006680046
J222  = 0.0006645756
J223  = 0.0006611722
J224  = 0.0006577986
J225  = 0.0006544506
J226  = 0.0006511319
J227  = 0.0006478385
J228  = 0.0006445737
J229  = 0.0006413342
J230  = 0.0006381228
J231  = 0.0006349364
J232  = 0.0006317777
J233  = 0.0006286437
J234  = 0.0006255368
J235  = 0.0006224545
J236  = 0.0006193988
J237  = 0.0006163675
J238  = 0.0006133623
J239  = 0.0006103812
J240  = 0.0006074258
J241  = 0.0006044943
J242  = 0.0006015881
J243  = 0.0005987054
J244  = 0.0005958476
J245  = 0.000593013
J246  = 0.000590203
J247  = 0.0005874159
J248  = 0.0005846529
J249  = 0.0005819127
J250  = 0.0005791961
J251  = 0.000576502
J252  = 0.0005738311
J253  = 0.0005711825
J254  = 0.0005685567
J255  = 0.0005659529
J256  = 0.0005633716
J257  = 0.0005608119
J258  = 0.0005582743
J259  = 0.0005557581
J260  = 0.0005532637
J261  = 0.0005507904
J262  = 0.0005483385
J263  = 0.0005459074
J264  = 0.0005434973
J265  = 0.0005411078
J266  = 0.0005387391
J267  = 0.0005363905
J268  = 0.0005340624
J269  = 0.0005317542
J270  = 0.0005294661
J271  = 0.0005271976
J272  = 0.0005249489
J273  = 0.0005227195
J274  = 0.0005205097
J275  = 0.0005183188
J276  = 0.0005161472
J277  = 0.0005139943
J278  = 0.0005118603
J279  = 0.0005097447
J280  = 0.0005076477
J281  = 0.0005055689
J282  = 0.0005035084
J283  = 0.0005014658
J284  = 0.0004994411
J285  = 0.0004974342
J286  = 0.0004954448
J287  = 0.0004934729
J288  = 0.0004915183
J289  = 0.0004895809
J290  = 0.0004876605
J291  = 0.000485757
J292  = 0.0004838703
J293  = 0.0004820001
J294  = 0.0004801465
J295  = 0.0004783092
J296  = 0.0004764882
J297  = 0.0004746832
J298  = 0.0004728942
J299  = 0.000471121
J300  = 0.0004693635
J301  = 0.0004676215
J302  = 0.000465895
J303  = 0.0004641837
J304  = 0.0004624877
J305  = 0.0004608067
J306  = 0.0004591406
J307  = 0.0004574893
J308  = 0.0004558526
J309  = 0.0004542305
J310  = 0.0004526229
J311  = 0.0004510295
J312  = 0.0004494502
J313  = 0.0004478851
J314  = 0.0004463338
J315  = 0.0004447964
J316  = 0.0004432726
J317  = 0.0004417624
J318  = 0.0004402657
J319  = 0.0004387823
J320  = 0.0004373121
J321  = 0.000435855
J322  = 0.0004344109
J323  = 0.0004329797
J324  = 0.0004315612
J325  = 0.0004301553
J326  = 0.000428762
J327  = 0.0004273811
J328  = 0.0004260125
J329  = 0.0004246561
J330  = 0.0004233118
J331  = 0.0004219794
J332  = 0.000420659
J333  = 0.0004193502
J334  = 0.0004180532
J335  = 0.0004167677
J336  = 0.0004154936
J337  = 0.0004142309
J338  = 0.0004129793
J339  = 0.000411739
J340  = 0.0004105096
J341  = 0.0004092912
J342  = 0.0004080836
J343  = 0.0004068867
J344  = 0.0004057004
J345  = 0.0004045247
J346  = 0.0004033594
J347  = 0.0004022044
J348  = 0.0004010596
J349  = 0.000399925
J350  = 0.0003988004
J351  = 0.0003976857
J352  = 0.0003965809
J353  = 0.0003954859
J354  = 0.0003944005
J355  = 0.0003933246
J356  = 0.0003922583
J357  = 0.0003912013
J358  = 0.0003901537
J359  = 0.0003891152
J360  = 0.0003880858
J361  = 0.0003870655
J362  = 0.0003860541
J363  = 0.0003850516
J364  = 0.0003840578
J365  = 0.0003830727
J366  = 0.0003820963
J367  = 0.0003811283
J368  = 0.0003801687
J369  = 0.0003792175
J370  = 0.0003782746
J371  = 0.0003773398
J372  = 0.0003764132
J373  = 0.0003754945
J374  = 0.0003745838
J375  = 0.000373681
J376  = 0.0003727859
J377  = 0.0003718986
J378  = 0.0003710188
J379  = 0.0003701467
J380  = 0.0003692819
J381  = 0.0003684246
J382  = 0.0003675747
J383  = 0.0003667319
J384  = 0.0003658964
J385  = 0.0003650679
J386  = 0.0003642465
J387  = 0.0003634321
J388  = 0.0003626245
J389  = 0.0003618238
J390  = 0.0003610298
J391  = 0.0003602425
J392  = 0.0003594618
J393  = 0.0003586876
J394  = 0.0003579199
J395  = 0.0003571587
J396  = 0.0003564037
J397  = 0.0003556551
J398  = 0.0003549127
J399  = 0.0003541764
J400  = 0.0003534462
J401  = 0.000352722
J402  = 0.0003520038
J403  = 0.0003512915
J404  = 0.000350585
J405  = 0.0003498843
J406  = 0.0003491893
J407  = 0.0003485
J408  = 0.0003478163
J409  = 0.0003471381
J410  = 0.0003464654
J411  = 0.0003457981
J412  = 0.0003451361
J413  = 0.0003444795
J414  = 0.0003438282
J415  = 0.000343182
J416  = 0.000342541
J417  = 0.000341905
J418  = 0.0003412741
J419  = 0.0003406482
J420  = 0.0003400272
J421  = 0.0003394111
J422  = 0.0003387998
J423  = 0.0003381933
J424  = 0.0003375915
J425  = 0.0003369943
J426  = 0.0003364018
J427  = 0.0003358139
J428  = 0.0003352305
J429  = 0.0003346515
J430  = 0.000334077
J431  = 0.0003335069
J432  = 0.0003329411
J433  = 0.0003323796
J434  = 0.0003318223
J435  = 0.0003312693
J436  = 0.0003307204
J437  = 0.0003301756
J438  = 0.0003296348
J439  = 0.0003290981
J440  = 0.0003285653
J441  = 0.0003280365
J442  = 0.0003275116
J443  = 0.0003269905
J444  = 0.0003264732
J445  = 0.0003259597
J446  = 0.0003254499
J447  = 0.0003249438
J448  = 0.0003244414
