J290  = 4.339992 
J291  = 4.331854 
J292  = 4.323733 
J293  = 4.315626 
J294  = 4.307534 
J295  = 4.299458 
J296  = 4.291397 
J297  = 4.283351 
J298  = 4.27532  
J299  = 4.267304 
J300  = 4.259303 
J301  = 4.251317 
J302  = 4.243347 
J303  = 4.235391 
J304  = 4.22745  
J305  = 4.219523 
J306  = 4.211612 
J307  = 4.203716 
J308  = 4.195834 
J309  = 4.187967 
J310  = 4.180115 
J311  = 4.172278 
J312  = 4.164455 
J313  = 4.156647 
J314  = 4.148854 
J315  = 4.141075 
J316  = 4.133311 
J317  = 4.125561 
J318  = 4.117826 
J319  = 4.110105 
J320  = 4.102399 
J321  = 4.094707 
J322  = 4.08703  
J323  = 4.079367 
J324  = 4.071719 
J325  = 4.064084 
J326  = 4.056465 
J327  = 4.048859 
J328  = 4.041268 
J329  = 4.033691 
J330  = 4.026128 
J331  = 4.018579 
J332  = 4.011044 
J333  = 4.003524 
J334  = 3.996018 
J335  = 3.988525 
J336  = 3.981047 
J337  = 3.973583 
J338  = 3.966133 
J339  = 3.958697 
J340  = 3.951274 
J341  = 3.943866 
J342  = 3.936471 
J343  = 3.929091 
J344  = 3.921724 
J345  = 3.914371 
J346  = 3.907032 
J347  = 3.899707 
J348  = 3.892395 
J349  = 3.885097 
J350  = 3.877813 
J351  = 3.870542 
J352  = 3.863285 
J353  = 3.856042 
J354  = 3.848812 
J355  = 3.841595 
J356  = 3.834393 
J357  = 3.827203 
J358  = 3.820028 
J359  = 3.812865 
J360  = 3.805717 
J361  = 3.798581 
J362  = 3.791459 
J363  = 3.78435  
J364  = 3.777255 
J365  = 3.770173 
J366  = 3.763104 
J367  = 3.756048 
J368  = 3.749006 
J369  = 3.741977 
J370  = 3.734961 
J371  = 3.727958 
J372  = 3.720968 
J373  = 3.713992 
J374  = 3.707028 
J375  = 3.700078 
J376  = 3.69314  
J377  = 3.686216 
J378  = 3.679304 
J379  = 3.672406 
J380  = 3.66552  
J381  = 3.658648 
J382  = 3.651788 
J383  = 3.644941 
J384  = 3.638107 
J385  = 3.631286 
J386  = 3.624477 
J387  = 3.617682 
J388  = 3.610899 
J389  = 3.604129 
J390  = 3.597371 
J391  = 3.590626 
J392  = 3.583894 
J393  = 3.577174 
J394  = 3.570467 
J395  = 3.563773 
J396  = 3.557091 
J397  = 3.550422 
J398  = 3.543765 
J399  = 3.53712  
J400  = 3.530489 
J401  = 3.523869 
J402  = 3.517262 
J403  = 3.510667 
J404  = 3.504085 
J405  = 3.497515 
J406  = 3.490957 
J407  = 3.484412 
J408  = 3.477879 
J409  = 3.471358 
J410  = 3.46485  
J411  = 3.458353 
J412  = 3.451869 
J413  = 3.445397 
J414  = 3.438937 
J415  = 3.432489 
J416  = 3.426053 
J417  = 3.41963  
J418  = 3.413218 
J419  = 3.406818 
J420  = 3.400431 
J421  = 3.394055 
J422  = 3.387691 
J423  = 3.38134  
J424  = 3.375    
J425  = 3.368672 
J426  = 3.362356 
J427  = 3.356051 
J428  = 3.349759 
J429  = 3.343478 
J430  = 3.33721  
J431  = 3.330952 
J432  = 3.324707 
J433  = 3.318473 
J434  = 3.312251 
J435  = 3.306041 
J436  = 3.299842 
J437  = 3.293655 
J438  = 3.28748  
J439  = 3.281316 
J440  = 3.275164 
J441  = 3.269023 
J442  = 3.262894 
J443  = 3.256776 
J444  = 3.25067  
J445  = 3.244575 
J446  = 3.238491 
J447  = 3.232419 
J448  = 3.226359 
J449  = 3.220309 
J450  = 3.214271 
J451  = 3.208245 
J452  = 3.202229 
J453  = 3.196225 
J454  = 3.190233 
J455  = 3.184251 
J456  = 3.178281 
J457  = 3.172321 
J458  = 3.166374 
J459  = 3.160437 
J460  = 3.154511 
J461  = 3.148596 
J462  = 3.142693 
J463  = 3.1368   
J464  = 3.130919 
J465  = 3.125049 
J466  = 3.119189 
J467  = 3.113341 
J468  = 3.107504 
J469  = 3.101677 
J470  = 3.095862 
J471  = 3.090057 
J472  = 3.084263 
J473  = 3.07848  
J474  = 3.072708 
J475  = 3.066947 
J476  = 3.061197 
J477  = 3.055457 
J478  = 3.049728 
J479  = 3.04401  
J480  = 3.038303 
J481  = 3.032606 
J482  = 3.02692  
J483  = 3.021244 
J484  = 3.01558  
J485  = 3.009926 
J486  = 3.004282 
J487  = 2.998649 
J488  = 2.993027 
J489  = 2.987415 
J490  = 2.981814 
J491  = 2.976223 
J492  = 2.970643 
J493  = 2.965073 
J494  = 2.959513 
J495  = 2.953964 
J496  = 2.948426 
J497  = 2.942897 
J498  = 2.93738  
J499  = 2.931872 
J500  = 2.926375 
J501  = 2.920888 
J502  = 2.915411 
J503  = 2.909945 
J504  = 2.904489 
J505  = 2.899043 
J506  = 2.893608 
J507  = 2.888182 
J508  = 2.882767 
J509  = 2.877362 
J510  = 2.871967 
J511  = 2.866582 
J512  = 2.861207 
J513  = 2.855842 
J514  = 2.850488 
J515  = 2.845143 
J516  = 2.839809 
J517  = 2.834484 
J518  = 2.829169 
J519  = 2.823865 
J520  = 2.81857  
J521  = 2.813285 
J522  = 2.808011 
J523  = 2.802746 
J524  = 2.797491 
J525  = 2.792245 
J526  = 2.78701  
J527  = 2.781784 
J528  = 2.776568 
J529  = 2.771362 
J530  = 2.766166 
J531  = 2.76098  
J532  = 2.755803 
J533  = 2.750636 
J534  = 2.745478 
J535  = 2.740331 
J536  = 2.735193 
J537  = 2.730064 
J538  = 2.724945 
J539  = 2.719836 
J540  = 2.714737 
J541  = 2.709646 
J542  = 2.704566 
J543  = 2.699495 
J544  = 2.694433 
J545  = 2.689381 
J546  = 2.684339 
J547  = 2.679306 
J548  = 2.674282 
J549  = 2.669268 
J550  = 2.664263 
J551  = 2.659267 
J552  = 2.654281 
J553  = 2.649305 
J554  = 2.644337 
J555  = 2.639379 
J556  = 2.63443  
J557  = 2.629491 
J558  = 2.62456  
J559  = 2.619639 
J560  = 2.614728 
J561  = 2.609825 
J562  = 2.604932 
J563  = 2.600047 
J564  = 2.595172 
J565  = 2.590306 
J566  = 2.58545  
J567  = 2.580602 
J568  = 2.575763 
J569  = 2.570934 
J570  = 2.566113 
J571  = 2.561302 
J572  = 2.556499 
J573  = 2.551706 
J574  = 2.546922 
J575  = 2.542146 
J576  = 2.53738  
J577  = 2.532622 
J578  = 2.527873 
J579  = 2.523134 
J580  = 2.518403 
J581  = 2.513681 
J582  = 2.508968 
J583  = 2.504263 
J584  = 2.499568 
J585  = 2.494881 
J586  = 2.490203 
J587  = 2.485534 
J588  = 2.480874 
J589  = 2.476222 
J590  = 2.471579 
J591  = 2.466945 
J592  = 2.462319 
J593  = 2.457703 
J594  = 2.453094 
J595  = 2.448495 
J596  = 2.443904 
J597  = 2.439322 
J598  = 2.434748 
J599  = 2.430183 
J600  = 2.425626 
J601  = 2.421078 
J602  = 2.416539 
J603  = 2.412007 
J604  = 2.407485 
J605  = 2.402971 
J606  = 2.398465 
J607  = 2.393968 
J608  = 2.389479 
J609  = 2.384999 
J610  = 2.380527 
J611  = 2.376064 
J612  = 2.371609 
J613  = 2.367162 
J614  = 2.362723 
J615  = 2.358293 
J616  = 2.353871 
J617  = 2.349458 
J618  = 2.345053 
J619  = 2.340656 
J620  = 2.336267 
J621  = 2.331886 
J622  = 2.327514 
J623  = 2.32315  
J624  = 2.318794 
J625  = 2.314446 
J626  = 2.310107 
J627  = 2.305775 
J628  = 2.301452 
J629  = 2.297137 
J630  = 2.292829 
J631  = 2.28853  
J632  = 2.284239 
J633  = 2.279956 
J634  = 2.275681 
J635  = 2.271414 
J636  = 2.267156 
J637  = 2.262905 
J638  = 2.258662 
J639  = 2.254427 
J640  = 2.250199 
J641  = 2.24598  
J642  = 2.241769 
J643  = 2.237566 
J644  = 2.23337  
J645  = 2.229183 
J646  = 2.225003 
J647  = 2.220831 
J648  = 2.216667 
J649  = 2.212511 
J650  = 2.208362 
J651  = 2.204221 
J652  = 2.200088 
J653  = 2.195963 
J654  = 2.191846 
J655  = 2.187736 
J656  = 2.183634 
J657  = 2.179539 
J658  = 2.175453 
J659  = 2.171374 
J660  = 2.167302 
J661  = 2.163239 
J662  = 2.159182 
J663  = 2.155134 
J664  = 2.151093 
J665  = 2.14706  
J666  = 2.143034 
J667  = 2.139016 
J668  = 2.135005 
J669  = 2.131002 
J670  = 2.127006 
J671  = 2.123018 
J672  = 2.119037 
J673  = 2.115064 
J674  = 2.111098 
J675  = 2.10714  
J676  = 2.103189 
J677  = 2.099245 
J678  = 2.095309 
J679  = 2.09138  
J680  = 2.087459 
J681  = 2.083545 
J682  = 2.079638 
J683  = 2.075739 
J684  = 2.071847 
J685  = 2.067962 
J686  = 2.064084 
J687  = 2.060214 
J688  = 2.056351 
J689  = 2.052495 
J690  = 2.048647 
J691  = 2.044806 
J692  = 2.040972 
J693  = 2.037145 
J694  = 2.033325 
J695  = 2.029512 
J696  = 2.025707 
J697  = 2.021909 
J698  = 2.018118 
J699  = 2.014333 
J700  = 2.010557 
J701  = 2.006787 
J702  = 2.003024 
J703  = 1.999268 
J704  = 1.995519 
J705  = 1.991778 
J706  = 1.988043 
J707  = 1.984315 
J708  = 1.980595 
J709  = 1.976881 
J710  = 1.973174 
J711  = 1.969474 
J712  = 1.965782 
J713  = 1.962096 
J714  = 1.958417 
J715  = 1.954745 
J716  = 1.951079 
J717  = 1.947421 
J718  = 1.943769 
J719  = 1.940125 
J720  = 1.936487 
J721  = 1.932856 
J722  = 1.929232 
J723  = 1.925614 
J724  = 1.922004 
J725  = 1.9184   
J726  = 1.914803 
J727  = 1.911212 
J728  = 1.907629 
J729  = 1.904052 
J730  = 1.900482 
J731  = 1.896918 
J732  = 1.893361 
J733  = 1.889811 
J734  = 1.886268 
J735  = 1.882731 
J736  = 1.879201 
J737  = 1.875677 
J738  = 1.87216  
J739  = 1.86865  
J740  = 1.865146 
J741  = 1.861649 
J742  = 1.858158 
J743  = 1.854674 
J744  = 1.851196 
J745  = 1.847725 
J746  = 1.84426  
J747  = 1.840802 
J748  = 1.837351 
J749  = 1.833906 
J750  = 1.830467 
J751  = 1.827035 
J752  = 1.823609 
J753  = 1.82019  
J754  = 1.816777 
J755  = 1.81337  
J756  = 1.80997  
J757  = 1.806576 
J758  = 1.803189 
J759  = 1.799807 
J760  = 1.796433 
J761  = 1.793064 
J762  = 1.789702 
J763  = 1.786346 
J764  = 1.782997 
J765  = 1.779654 
J766  = 1.776317 
J767  = 1.772986 
J768  = 1.769661 
J769  = 1.766343 
J770  = 1.763031 
J771  = 1.759725 
J772  = 1.756426 
J773  = 1.753132 
J774  = 1.749845 
J775  = 1.746564 
J776  = 1.743289 
J777  = 1.74002  
J778  = 1.736758 
J779  = 1.733501 
J780  = 1.730251 
J781  = 1.727006 
J782  = 1.723768 
J783  = 1.720536 
J784  = 1.71731  
J785  = 1.71409  
J786  = 1.710876 
J787  = 1.707668 
J788  = 1.704466 
J789  = 1.70127  
J790  = 1.69808  
J791  = 1.694896 
J792  = 1.691718 
J793  = 1.688545 
J794  = 1.685379 
J795  = 1.682219 
J796  = 1.679065 
J797  = 1.675916 
J798  = 1.672774 
J799  = 1.669637 
J800  = 1.666507 
J801  = 1.663382 
J802  = 1.660263 
J803  = 1.65715  
J804  = 1.654042 
J805  = 1.650941 
J806  = 1.647845 
J807  = 1.644755 
J808  = 1.641671 
J809  = 1.638593 
J810  = 1.635521 
J811  = 1.632454 
J812  = 1.629393 
J813  = 1.626338 
J814  = 1.623288 
J815  = 1.620244 
J816  = 1.617206 
J817  = 1.614174 
J818  = 1.611147 
J819  = 1.608126 
J820  = 1.605111 
J821  = 1.602101 
J822  = 1.599097 
J823  = 1.596098 
J824  = 1.593106 
J825  = 1.590118 
J826  = 1.587137 
J827  = 1.584161 
J828  = 1.58119  
J829  = 1.578225 
J830  = 1.575266 
J831  = 1.572312 
J832  = 1.569364 
J833  = 1.566421 
J834  = 1.563484 
J835  = 1.560552 
J836  = 1.557626 
J837  = 1.554706 
J838  = 1.55179  
J839  = 1.548881 
J840  = 1.545976 
J841  = 1.543077 
J842  = 1.540184 
J843  = 1.537296 
J844  = 1.534413 
J845  = 1.531536 
J846  = 1.528665 
J847  = 1.525798 
J848  = 1.522937 
J849  = 1.520081 
J850  = 1.517231 
J851  = 1.514386 
J852  = 1.511547 
J853  = 1.508712 
J854  = 1.505883 
J855  = 1.50306  
J856  = 1.500241 
J857  = 1.497428 
J858  = 1.49462  
J859  = 1.491818 
J860  = 1.48902  
J861  = 1.486228 
J862  = 1.483441 
J863  = 1.48066  
J864  = 1.477883 
J865  = 1.475112 
J866  = 1.472346 
J867  = 1.469585 
J868  = 1.46683  
J869  = 1.464079 
J870  = 1.461334 
J871  = 1.458594 
J872  = 1.455859 
J873  = 1.453129 
J874  = 1.450404 
J875  = 1.447684 
J876  = 1.44497  
J877  = 1.44226  
J878  = 1.439556 
J879  = 1.436857 
J880  = 1.434162 
J881  = 1.431473 
J882  = 1.428789 
J883  = 1.42611  
J884  = 1.423436 
J885  = 1.420767 
J886  = 1.418102 
J887  = 1.415443 
J888  = 1.412789 
J889  = 1.41014  
J890  = 1.407496 
J891  = 1.404857 
J892  = 1.402222 
J893  = 1.399593 
J894  = 1.396969 
J895  = 1.394349 
J896  = 1.391735 
J897  = 1.389125 
J898  = 1.38652  
J899  = 1.38392  
J900  = 1.381325 
J901  = 1.378735 
J902  = 1.37615  
J903  = 1.373569 
J904  = 1.370994 
J905  = 1.368423 
J906  = 1.365857 
J907  = 1.363296 
J908  = 1.360739 
J909  = 1.358188 
J910  = 1.355641 
J911  = 1.353099 
J912  = 1.350562 
J913  = 1.348029 
J914  = 1.345502 
J915  = 1.342979 
J916  = 1.34046  
J917  = 1.337947 
J918  = 1.335438 
J919  = 1.332934 
J920  = 1.330434 
J921  = 1.32794  
J922  = 1.32545  
J923  = 1.322964 
J924  = 1.320483 
J925  = 1.318007 
J926  = 1.315536 
J927  = 1.313069 
J928  = 1.310607 
J929  = 1.308149 
J930  = 1.305696 
J931  = 1.303248 
J932  = 1.300804 
J933  = 1.298365 
J934  = 1.29593  
J935  = 1.2935   
J936  = 1.291075 
J937  = 1.288654 
J938  = 1.286238 
J939  = 1.283826 
J940  = 1.281418 
J941  = 1.279015 
J942  = 1.276617 
J943  = 1.274223 
J944  = 1.271834 
J945  = 1.269449 
J946  = 1.267069 
J947  = 1.264693 
J948  = 1.262321 
J949  = 1.259954 
J950  = 1.257592 
J951  = 1.255233 
J952  = 1.25288  
J953  = 1.25053  
J954  = 1.248185 
J955  = 1.245845 
J956  = 1.243509 
J957  = 1.241177 
J958  = 1.23885  
J959  = 1.236526 
J960  = 1.234208 
J961  = 1.231893 
J962  = 1.229583 
J963  = 1.227278 
J964  = 1.224976 
J965  = 1.222679 
J966  = 1.220387 
J967  = 1.218098 
J968  = 1.215814 
J969  = 1.213534 
J970  = 1.211259 
J971  = 1.208987 
J972  = 1.20672  
J973  = 1.204458 
J974  = 1.202199 
J975  = 1.199945 
J976  = 1.197695 
J977  = 1.195449 
J978  = 1.193207 
J979  = 1.19097  
J980  = 1.188736 
J981  = 1.186507 
J982  = 1.184282 
J983  = 1.182062 
J984  = 1.179845 
J985  = 1.177633 
J986  = 1.175424 
J987  = 1.17322  
J988  = 1.17102  
J989  = 1.168825 
J990  = 1.166633 
J991  = 1.164445 
J992  = 1.162262 
J993  = 1.160082 
J994  = 1.157907 
J995  = 1.155736 
J996  = 1.153568 
J997  = 1.151405 
J998  = 1.149246 
J999  = 1.147091 
J1000 = 1.14494  
J1001 = 1.142793 
J1002 = 1.14065  
J1003 = 1.138511 
J1004 = 1.136376 
J1005 = 1.134245 
J1006 = 1.132119 
J1007 = 1.129996 
J1008 = 1.127877 
J1009 = 1.125762 
J1010 = 1.123651 
J1011 = 1.121544 
J1012 = 1.119441 
J1013 = 1.117341 
J1014 = 1.115246 
J1015 = 1.113155 
J1016 = 1.111068 
J1017 = 1.108984 
J1018 = 1.106905 
J1019 = 1.104829 
J1020 = 1.102757 
J1021 = 1.100689 
J1022 = 1.098625 
J1023 = 1.096565 
J1024 = 1.094509 
J1025 = 1.092456 
J1026 = 1.090408 
J1027 = 1.088363 
J1028 = 1.086322 
J1029 = 1.084285 
J1030 = 1.082252 
J1031 = 1.080223 
J1032 = 1.078197 
J1033 = 1.076175 
J1034 = 1.074157 
J1035 = 1.072143 
J1036 = 1.070132 
J1037 = 1.068126 
J1038 = 1.066123 
J1039 = 1.064123 
J1040 = 1.062128 
J1041 = 1.060136 
J1042 = 1.058148 
J1043 = 1.056164 
J1044 = 1.054184 
J1045 = 1.052207 
J1046 = 1.050234 
J1047 = 1.048264 
J1048 = 1.046299 
J1049 = 1.044337 
J1050 = 1.042378 
J1051 = 1.040424 
J1052 = 1.038473 
J1053 = 1.036525 
J1054 = 1.034582 
J1055 = 1.032642 
J1056 = 1.030705 
J1057 = 1.028772 
J1058 = 1.026843 
J1059 = 1.024918 
J1060 = 1.022996 
J1061 = 1.021077 
J1062 = 1.019163 
J1063 = 1.017251 
J1064 = 1.015344 
J1065 = 1.01344  
J1066 = 1.01154  
J1067 = 1.009643 
J1068 = 1.007749 
J1069 = 1.00586  
J1070 = 1.003973 
J1071 = 1.002091 
J1072 = 1.000212 
J1073 = 0.998336 
J1074 = 0.9964639
J1075 = 0.9945954
J1076 = 0.9927303
J1077 = 0.9908687
J1078 = 0.9890106
J1079 = 0.987156 
J1080 = 0.9853049
J1081 = 0.9834572
J1082 = 0.981613 
J1083 = 0.9797723
J1084 = 0.977935 
J1085 = 0.9761012
J1086 = 0.9742708
J1087 = 0.9724438
J1088 = 0.9706202
J1089 = 0.9688001
J1090 = 0.9669834
J1091 = 0.9651701
J1092 = 0.9633602
J1093 = 0.9615537
J1094 = 0.9597505
J1095 = 0.9579508
J1096 = 0.9561544
J1097 = 0.9543614
J1098 = 0.9525718
J1099 = 0.9507855
J1100 = 0.9490025
J1101 = 0.9472229
J1102 = 0.9454467
J1103 = 0.9436738
J1104 = 0.9419042
J1105 = 0.9401379
J1106 = 0.9383749
J1107 = 0.9366152
J1108 = 0.9348589
J1109 = 0.9331058
J1110 = 0.931356 
J1111 = 0.9296095
J1112 = 0.9278663
J1113 = 0.9261263
J1114 = 0.9243896
J1115 = 0.9226561
J1116 = 0.9209259
J1117 = 0.919199 
J1118 = 0.9174753
J1119 = 0.9157548
J1120 = 0.9140375
J1121 = 0.9123235
J1122 = 0.9106127
J1123 = 0.9089051
J1124 = 0.9072006
J1125 = 0.9054994
J1126 = 0.9038014
J1127 = 0.9021066
J1128 = 0.9004149
J1129 = 0.8987264
J1130 = 0.8970411
J1131 = 0.8953589
J1132 = 0.8936799
J1133 = 0.892004 
J1134 = 0.8903313
J1135 = 0.8886617
J1136 = 0.8869952
J1137 = 0.8853319
J1138 = 0.8836717
J1139 = 0.8820146
J1140 = 0.8803606
J1141 = 0.8787097
J1142 = 0.8770619
J1143 = 0.8754172
J1144 = 0.8737756
J1145 = 0.872137 
J1146 = 0.8705015
J1147 = 0.8688691
J1148 = 0.8672398
J1149 = 0.8656135
J1150 = 0.8639903
J1151 = 0.8623701
J1152 = 0.8607529
J1153 = 0.8591388
J1154 = 0.8575277
J1155 = 0.8559196
J1156 = 0.8543145
J1157 = 0.8527125
J1158 = 0.8511134
J1159 = 0.8495173
J1160 = 0.8479243
J1161 = 0.8463342
J1162 = 0.8447471
J1163 = 0.843163 
J1164 = 0.8415818
J1165 = 0.8400037
J1166 = 0.8384284
J1167 = 0.8368562
J1168 = 0.8352868
J1169 = 0.8337205
J1170 = 0.832157 
J1171 = 0.8305965
J1172 = 0.8290389
J1173 = 0.8274842
J1174 = 0.8259325
J1175 = 0.8243837
J1176 = 0.8228377
