J0    = 0.4783782
J1    = 0.1602607
J2    = 0.1582583
J3    = 0.07673986
J4    = 0.03801433
J5    = 0.03246819
J6    = 0.03009395
J7    = 0.02584861
J8    = 0.01927045
J9    = 0.01742023
J10   = 0.01718814
J11   = 0.00984409
J12   = 0.00967066
J13   = 0.008505345
J14   = 0.007879754
J15   = 0.004457807
J16   = 0.004457807
J17   = 0.004457807
J18   = 0.004457709
J19   = 0.004455762
J20   = 0.004128424
J21   = 0.003638961
J22   = 0.002230826
J23   = 0.002158615
J24   = 0.001539117
J25   = 0.001539117
Total time used: 9.959458313368602
