J0    = 2.392947 
J1    = 1.725424 
J2    = 0.3496506
J3    = 0.2337164
J4    = 0.178929 
J5    = 0.1154101
J6    = 0.09928518
J7    = 0.08189027
J8    = 0.07383438
J9    = 0.06423466
J10   = 0.05842132
J11   = 0.05186454
J12   = 0.04778814
J13   = 0.04355869
J14   = 0.04076083
J15   = 0.0378585
J16   = 0.03573792
J17   = 0.03351489
J18   = 0.03182741
J19   = 0.03011885
J20   = 0.02882103
J21   = 0.02754732
J22   = 0.02655242
J23   = 0.02555991
J24   = 0.0247317
J25   = 0.02386868
J26   = 0.02310799
J27   = 0.02229989
J28   = 0.0215791
J29   = 0.02082609
J30   = 0.0201666
J31   = 0.01950191
J32   = 0.01893516
J33   = 0.01838427
J34   = 0.0179222
J35   = 0.01748113
J36   = 0.01710705
J37   = 0.01674473
J38   = 0.01642413
J39   = 0.01610099
J40   = 0.01580079
J41   = 0.01548814
J42   = 0.01519066
J43   = 0.01487942
J44   = 0.01458493
J45   = 0.01428251
J46   = 0.01400248
J47   = 0.01372288
J48   = 0.01347005
J49   = 0.0132239
J50   = 0.01300455
J51   = 0.01279353
J52   = 0.01260483
J53   = 0.01242173
J54   = 0.01225394
J55   = 0.01208655
J56   = 0.01192751
J57   = 0.01176359
J58   = 0.01160303
J59   = 0.01143401
J60   = 0.01126621
J61   = 0.01108889
J62   = 0.01091341
J63   = 0.01072988
J64   = 0.01055084
J65   = 0.01036712
J66   = 0.01019149
J67   = 0.01001544
J68   = 0.009850886
J69   = 0.009689942
J70   = 0.009542679
J71   = 0.009401785
J72   = 0.009274916
J73   = 0.009155296
J74   = 0.00904812
J75   = 0.008947145
J76   = 0.008855585
J77   = 0.008767767
J78   = 0.008685724
J79   = 0.008604396
J80   = 0.00852551
J81   = 0.008444619
J82   = 0.008363848
J83   = 0.008279323
J84   = 0.008193962
J85   = 0.008104387
J86   = 0.008014368
J87   = 0.007920929
J88   = 0.007828467
J89   = 0.007734298
J90   = 0.007643036
J91   = 0.007552183
J92   = 0.007466089
J93   = 0.007382347
J94   = 0.007304619
J95   = 0.007230518
J96   = 0.00716277
J97   = 0.007098979
J98   = 0.007040903
J99   = 0.006986163
J100  = 0.006935734
J101  = 0.006887313
J102  = 0.006841414
J103  = 0.006795885
J104  = 0.006751137
J105  = 0.00670523
J106  = 0.006658774
J107  = 0.006610066
J108  = 0.006560109
J109  = 0.006507433
J110  = 0.00645349
J111  = 0.00639701
J112  = 0.006339837
J113  = 0.006280848
J114  = 0.006222133
J115  = 0.006162657
J116  = 0.00610456
J117  = 0.006046838
J118  = 0.005991485
J119  = 0.005937482
J120  = 0.00588652
J121  = 0.005837537
J122  = 0.005791831
J123  = 0.005748291
J124  = 0.005707819
J125  = 0.005669272
J126  = 0.005633217
J127  = 0.005598515
J128  = 0.00556551
J129  = 0.005533107
J130  = 0.00550156
J131  = 0.005469849
J132  = 0.005438258
J133  = 0.005405868
J134  = 0.005373085
J135  = 0.005339096
J136  = 0.005304483
J137  = 0.00526854
J138  = 0.00523203
J139  = 0.005194345
J140  = 0.005156407
J141  = 0.005117683
J142  = 0.0050792
J143  = 0.005040482
J144  = 0.005002588
J145  = 0.004965076
J146  = 0.004928957
J147  = 0.0048938
J148  = 0.004860496
J149  = 0.004828608
J150  = 0.004798851
J151  = 0.004770766
J152  = 0.004744866
J153  = 0.004720665
J154  = 0.004698474
J155  = 0.004677786
