J0    = 0.0655287
J1    = 0.02312206
J2    = 0.01318396
J3    = 0.0111284
J4    = 0.009018976
J5    = 0.00807589
J6    = 0.007100135
J7    = 0.006542261
J8    = 0.005983056
J9    = 0.005489447
J10   = 0.005125988
J11   = 0.004839515
J12   = 0.004564644
J13   = 0.004305994
J14   = 0.004061224
J15   = 0.003829985
J16   = 0.003611425
J17   = 0.00344228
J18   = 0.003319559
J19   = 0.003199332
J20   = 0.003083677
J21   = 0.002972013
J22   = 0.002864285
J23   = 0.00276034
J24   = 0.00266005
J25   = 0.002563286
J26   = 0.002469926
J27   = 0.002379849
J28   = 0.002292942
J29   = 0.002209092
J30   = 0.002128193
J31   = 0.00205014
J32   = 0.001974833
J33   = 0.001902176
J34   = 0.001832076
J35   = 0.001777757
J36   = 0.001736477
J37   = 0.001699395
J38   = 0.001662502
J39   = 0.001626512
J40   = 0.001591316
J41   = 0.001556892
J42   = 0.001523216
J43   = 0.001490265
J44   = 0.001458018
J45   = 0.001426456
J46   = 0.001395563
J47   = 0.00136532
J48   = 0.001335714
J49   = 0.001306728
J50   = 0.001278349
J51   = 0.001250563
J52   = 0.001223358
J53   = 0.001196719
J54   = 0.001170636
J55   = 0.001145097
J56   = 0.001120089
J57   = 0.001095602
J58   = 0.001071625
J59   = 0.001048147
J60   = 0.001025157
J61   = 0.001002645
J62   = 0.0009806033
J63   = 0.0009590198
J64   = 0.0009378849
J65   = 0.0009171918
J66   = 0.0008969297
J67   = 0.0008770887
J68   = 0.0008576638
J69   = 0.0008386447
J70   = 0.0008200212
J71   = 0.0008017886
J72   = 0.0007839408
J73   = 0.0007664647
J74   = 0.0007493534
J75   = 0.0007326115
J76   = 0.0007162198
J77   = 0.0007001719
J78   = 0.0006844654
J79   = 0.0006691164
J80   = 0.0006541336
J81   = 0.0006394719
J82   = 0.0006251297
J83   = 0.0006111115
J84   = 0.0005973856
J85   = 0.0005839578
J86   = 0.0005708353
J87   = 0.0005580087
J88   = 0.0005454716
J89   = 0.000533195
J90   = 0.0005212042
J91   = 0.0005095235
J92   = 0.0004980863
