J0    = 486.4754 
J1    = 486.2459 
J2    = 486.2459 
J3    = 486.2459 
J4    = 470.7085 
J5    = 231.7945 
J6    = 97.61523 
J7    = 16.65873 
J8    = 7.454093 
J9    = 7.454093 
J10   = 7.453908 
J11   = 7.453899 
J12   = 7.453898 
J13   = 7.453895 
J14   = 7.453894 
J15   = 7.453887 
J16   = 7.453885 
J17   = 7.453876 
J18   = 7.453875 
J19   = 7.453863 
J20   = 7.45384  
J21   = 7.453827 
J22   = 7.453793 
J23   = 7.453775 
J24   = 7.453763 
J25   = 7.453751 
J26   = 7.453729 
J27   = 7.453689 
J28   = 7.453664 
J29   = 7.453658 
J30   = 7.453628 
J31   = 7.453586 
J32   = 7.453414 
J33   = 7.453359 
J34   = 7.453326 
J35   = 7.453047 
J36   = 7.45255  
J37   = 7.451295 
J38   = 7.448829 
J39   = 7.442001 
J40   = 7.424915 
J41   = 7.385874 
J42   = 7.302074 
J43   = 7.12986  
J44   = 6.788328 
J45   = 6.135589 
J46   = 4.947424 
J47   = 2.95153  
J48   = 0.1780992
J49   = 0.0773008
J50   = 0.07573364
J51   = 0.07499319
J52   = 0.07478132
J53   = 0.07448031
J54   = 0.0736667
J55   = 0.07254936
J56   = 0.06975214
J57   = 0.06579911
J58   = 0.0599754
J59   = 0.04849571
J60   = 0.0458873
J61   = 0.0458873
J62   = 0.04574235
J63   = 0.04533121
J64   = 0.04450073
J65   = 0.04354653
J66   = 0.03944534
J67   = 0.03383474
J68   = 0.02664993
J69   = 0.02632114
J70   = 0.02632114
J71   = 0.02587863
J72   = 0.02586381
J73   = 0.02564494
J74   = 0.02561518
J75   = 0.02541377
J76   = 0.02541331
J77   = 0.02476458
J78   = 0.0226884
J79   = 0.0187659
J80   = 0.01781806
J81   = 0.01781806
J82   = 0.01779287
J83   = 0.01768534
J84   = 0.01760427
J85   = 0.01754511
J86   = 0.01729636
J87   = 0.01689933
J88   = 0.01595233
J89   = 0.01409841
J90   = 0.01232476
J91   = 0.01226881
J92   = 0.01223793
J93   = 0.01223239
J94   = 0.01222554
J95   = 0.01218979
J96   = 0.01215104
J97   = 0.01210107
J98   = 0.01206955
J99   = 0.01202758
J100  = 0.01195319
J101  = 0.0117123
J102  = 0.01135212
J103  = 0.01074625
J104  = 0.009955612
J105  = 0.009883622
J106  = 0.009883622
J107  = 0.009881575
J108  = 0.009870989
J109  = 0.00986898
J110  = 0.009829735
J111  = 0.009754711
J112  = 0.009676862
J113  = 0.009526657
J114  = 0.009257847
J115  = 0.00894242
J116  = 0.008861024
J117  = 0.008851829
J118  = 0.008846484
J119  = 0.008844732
J120  = 0.008842084
J121  = 0.008840599
J122  = 0.008840439
J123  = 0.008840294
J124  = 0.008834123
J125  = 0.008828752
J126  = 0.008821076
J127  = 0.008812917
J128  = 0.008791924
J129  = 0.008761651
J130  = 0.008712005
J131  = 0.008637633
J132  = 0.008570634
J133  = 0.00855718
J134  = 0.00855574
J135  = 0.008553983
J136  = 0.008553589
J137  = 0.008553377
J138  = 0.008550358
J139  = 0.008546677
J140  = 0.008546033
J141  = 0.008538495
J142  = 0.008521115
J143  = 0.008499396
J144  = 0.008492959
J145  = 0.008492214
J146  = 0.008492069
J147  = 0.008492062
J148  = 0.00849185
J149  = 0.008491662
J150  = 0.008491594
J151  = 0.008491587
J152  = 0.008491499
J153  = 0.008491454
J154  = 0.008491298
J155  = 0.008491152
J156  = 0.008491054
J157  = 0.00849102
J158  = 0.008490864
J159  = 0.008490685
J160  = 0.008490421
J161  = 0.00849017
J162  = 0.008489541
J163  = 0.008488511
J164  = 0.008486781
J165  = 0.008483739
J166  = 0.008478902
J167  = 0.008473136
J168  = 0.008468537
J169  = 0.00846677
J170  = 0.008466607
J171  = 0.008466396
J172  = 0.008465361
J173  = 0.008464599
J174  = 0.008464599
J175  = 0.008464597
J176  = 0.008464595
J177  = 0.008464594
J178  = 0.008464594
J179  = 0.008464594
J180  = 0.008464593
J181  = 0.008464593
J182  = 0.008464591
J183  = 0.008464591
J184  = 0.008464591
J185  = 0.008464591
J186  = 0.00846459
J187  = 0.00846459
J188  = 0.00846459
J189  = 0.008464589
J190  = 0.008464589
J191  = 0.008464589
J192  = 0.008464589
J193  = 0.008464589
J194  = 0.008464589
J195  = 0.008464589
J196  = 0.008464589
Return: alphak is too small.
Total time used: 515.82 
