J0    = 0.7976491
J1    = 0.5751413
J2    = 0.117331 
J3    = 0.07819955
J4    = 0.05677607
J5    = 0.03672237
J6    = 0.03043699
J7    = 0.02516126
J8    = 0.02137335
J9    = 0.01697301
J10   = 0.01435893
J11   = 0.0126298
J12   = 0.01141826
J13   = 0.0102232
J14   = 0.009081978
J15   = 0.008253912
J16   = 0.007734852
J17   = 0.007217545
J18   = 0.006448514
J19   = 0.005617558
J20   = 0.005160772
J21   = 0.005003587
J22   = 0.004883361
J23   = 0.004599318
J24   = 0.004051357
J25   = 0.00333267
J26   = 0.002918969
J27   = 0.002818739
J28   = 0.002793159
J29   = 0.002754795
J30   = 0.002641873
J31   = 0.002393759
J32   = 0.001980247
J33   = 0.001627469
J34   = 0.001509888
J35   = 0.001495548
J36   = 0.001493656
J37   = 0.001488976
J38   = 0.001473544
J39   = 0.001431426
J40   = 0.00132908
J41   = 0.001137 
J42   = 0.000916984
J43   = 0.0008081867
J44   = 0.000789676
J45   = 0.0007887884
J46   = 0.0007881358
J47   = 0.0007846906
J48   = 0.0007752626
J49   = 0.0007476982
J50   = 0.0006812291
J51   = 0.0005490247
J52   = 0.0003843311
J53   = 0.0002973882
J54   = 0.0002848021
J55   = 0.0002845692
J56   = 0.0002845322
J57   = 0.0001671698
J58   = 0.0001643734
J59   = 0.0001641397
J60   = 0.0001641066
J61   = 0.0001640547
J62   = 0.0001639151
J63   = 0.0001635419
J64   = 0.0001625588
J65   = 0.0001600229
J66   = 0.0001537282
J67   = 0.0001394009
J68   = 0.0001127099
J69   = 8.006756e-05
Total time used: 7.160947524850352
